player,nation,position,squad,competition,age,born,90s,shotcreatingactions,shotcreatingaction_per90,sca_livepasses,sca_deadballs,sca_takeons,sca_shots,sca_foulsdrawn,sca_defaction,goalcreatingactions,gca_per90,gca_passlive,gca_deadball,gca_takeons,gca_shots,gca_foulsdrawn,gca_defaction
Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,23,2000,17.3,61,3.52,52,0,4,3,2,0,8,0.46,6,0,1,1,0,0
Ben Davies,WAL,DF,Tottenham,Premier League,31,1993,14.8,8,0.54,7,0,0,0,0,1,0,0,0,0,0,0,0,0
Keinan Davis,ENG,FW,Udinese,Serie A,26,1998,11.8,35,2.95,27,0,4,3,0,1,2,0.17,0,0,1,1,0,0
Leif Davis,ENG,DF,Ipswich Town,Premier League,24,2000,30.5,93,3.05,46,39,3,3,1,1,4,0.13,3,0,1,0,0,0
Zuriko Davitashvili,GEO,"FW,MF",Saint-Étienne,Ligue 1,23,2001,30.9,115,3.85,55,23,16,13,8,0,15,0.5,8,1,4,0,2,0
Paweł Dawidowicz,POL,"DF,MF",Hellas Verona,Serie A,29,1995,20.5,8,0.39,6,2,0,0,0,0,1,0.05,1,0,0,0,0,0
Craig Dawson,ENG,DF,Wolves,Premier League,34,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0
Kevin De Bruyne,BEL,"MF,FW",Manchester City,Premier League,33,1991,18.9,113,5.97,73,26,3,6,3,2,11,0.58,9,1,0,1,0,0
Bobby De Cordova-Reid,JAM,FW,Leicester City,Premier League,31,1993,8.3,13,1.57,8,0,0,3,2,0,3,0.36,1,0,0,1,1,0
Charles De Ketelaere,BEL,"MF,FW",Atalanta,Serie A,23,2001,23,88,3.83,73,0,5,7,3,0,14,0.61,11,0,1,2,0,0
Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,30,1994,23.4,90,3.84,77,6,1,3,2,1,13,0.56,12,0,0,0,1,0
Théo De Percin,MTQ,GK,Auxerre,Ligue 1,23,2001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattia De Sciglio,ITA,DF,Empoli,Serie A,31,1992,8.5,8,0.94,5,1,0,0,1,1,0,0,0,0,0,0,0,0
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,36,1988,11.8,14,1.19,10,2,0,2,0,0,2,0.17,1,0,0,1,0,0
Thibault De Smet,BEL,DF,Reims,Ligue 1,26,1998,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koni De Winter,BEL,DF,Genoa,Serie A,22,2002,23.7,15,0.63,11,2,0,0,1,1,1,0.04,1,0,0,0,0,0
Amar Dedić,BIH,DF,Marseille,Ligue 1,21,2002,3.5,14,4.01,11,0,2,1,0,0,1,0.29,1,0,0,0,0,0
Alessandro Deiola,ITA,MF,Cagliari,Serie A,28,1995,15.9,26,1.63,19,1,0,3,2,1,3,0.19,2,0,0,1,0,0
Romain Del Castillo,FRA,FW,Brest,Ligue 1,28,1996,14,67,4.79,33,24,2,3,4,1,9,0.64,7,1,0,0,1,0
Enrico Del Prato,ITA,DF,Parma,Serie A,24,1999,32.7,32,0.98,28,2,0,0,1,1,1,0.03,0,0,0,0,0,1
Thomas Delaine,FRA,DF,Strasbourg,Ligue 1,32,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam Delap,ENG,FW,Ipswich Town,Premier League,21,2003,28.8,62,2.15,28,0,12,7,13,2,7,0.24,3,0,2,0,2,0
Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,Serie A,23,2001,10.5,24,2.28,17,0,5,2,0,0,1,0.09,1,0,0,0,0,0
Andy Delort,ALG,FW,Montpellier,Ligue 1,32,1991,6.7,12,2.09,9,0,1,1,1,0,1,0.17,1,0,0,0,0,0
Olivier Deman,BEL,DF,Werder Bremen,Bundesliga,24,2000,0.7,1,1.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ali Dembélé,FRA,DF,Torino,Serie A,20,2004,4.3,7,1.62,5,0,2,0,0,0,0,0,0,0,0,0,0,0
Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,27,1997,19.2,110,5.72,75,16,9,6,3,1,15,0.78,11,0,1,2,1,0
Ermedin Demirović,BIH,FW,Stuttgart,Bundesliga,26,1998,20.6,47,2.28,35,0,2,7,3,0,7,0.34,4,0,0,2,1,0
Sepp van den Berg,NED,DF,Brentford,Premier League,22,2001,28.7,22,0.77,19,0,0,2,1,0,2,0.07,1,0,0,0,1,0
Rémy Descamps,FRA,GK,Lyon,Ligue 1,28,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Desmas,FRA,GK,Le Havre,Ligue 1,30,1994,18,3,0.17,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Justin Devenny,NIR,MF,Crystal Palace,Premier League,20,2003,5.6,15,2.66,12,2,0,1,0,0,1,0.18,1,0,0,0,0,0
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,Premier League,25,1998,2.9,5,1.7,5,0,0,0,0,0,1,0.34,1,0,0,0,0,0
Michele Di Gregorio,ITA,GK,Juventus,Serie A,27,1997,33,2,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,30,1993,37,80,2.16,72,4,0,2,1,1,8,0.22,7,0,0,1,0,0
Boulaye Dia,SEN,"MF,FW",Lazio,Serie A,27,1996,24.2,55,2.27,40,0,4,8,2,1,8,0.33,7,0,0,1,0,0
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,27,1996,7.3,4,0.55,2,0,0,2,0,0,1,0.14,1,0,0,0,0,0
Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,18,2005,9.5,37,3.88,20,1,4,5,6,1,2,0.21,1,0,0,1,0,0
Bafodé Diakité,FRA,DF,Lille,Ligue 1,23,2001,30.7,19,0.62,17,0,0,1,1,0,3,0.1,2,0,0,0,1,0
Oumar Diakité,CIV,FW,Reims,Ligue 1,20,2003,18.1,39,2.16,29,0,2,5,3,0,4,0.22,4,0,0,0,0,0
Amad Diallo,CIV,"MF,FW",Manchester Utd,Premier League,22,2002,21.1,97,4.59,65,9,10,3,6,4,18,0.85,7,0,4,1,2,4
Assane Diao,SEN,"FW,MF",Como,Serie A,18,2005,13.9,31,2.23,21,0,4,3,3,0,4,0.29,2,0,1,0,1,0
Assane Diao,SEN,FW,Betis,La Liga,18,2005,3.1,7,2.28,6,0,0,1,0,0,2,0.65,2,0,0,0,0,0
Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,20,2004,26.1,57,2.18,47,1,0,3,6,0,8,0.31,6,0,0,0,2,0
Moussa Diarra,MLI,DF,Alavés,La Liga,23,2000,20.7,18,0.87,14,0,0,0,4,0,4,0.19,2,0,0,0,2,0
Rúben Dias,POR,DF,Manchester City,Premier League,27,1997,25.2,26,1.03,17,0,0,7,0,2,1,0.04,1,0,0,0,0,0
Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,25,1999,5.6,10,1.77,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Kandet Diawara,GUI,FW,Le Havre,Ligue 1,24,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahamadou Diawara,FRA,MF,Le Havre,Ligue 1,19,2005,6.5,14,2.16,13,0,0,1,0,0,1,0.15,1,0,0,0,0,0
Mahamadou Diawara,FRA,MF,Lyon,Ligue 1,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,24,1999,15.4,56,3.64,43,0,6,5,1,1,12,0.78,7,0,1,3,0,1
Daniel Díaz,ESP,MF,Real Sociedad,La Liga,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Díaz,COL,FW,Liverpool,Premier League,27,1997,26.7,117,4.39,88,0,16,9,4,0,16,0.6,13,0,1,0,2,0
Pedro Díaz,ESP,MF,Rayo Vallecano,La Liga,26,1998,13.5,50,3.72,33,7,5,5,0,0,5,0.37,1,0,2,2,0,0
Tyler Dibling,ENG,"FW,MF",Southampton,Premier League,18,2006,20.8,56,2.69,34,1,11,5,5,0,4,0.19,2,0,1,1,0,0
Diego,ESP,FW,Leganés,La Liga,24,2000,13.3,12,0.9,7,0,0,2,3,0,1,0.08,0,0,0,0,1,0
Justin Diehl,GER,"FW,DF",Stuttgart,Bundesliga,19,2004,1.2,4,3.46,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Bamba Dieng,SEN,FW,Angers,Ligue 1,24,2000,5.9,6,1.02,4,0,1,0,1,0,1,0.17,0,0,0,0,1,0
Eric Dier,ENG,DF,Bayern Munich,Bundesliga,30,1994,16.3,13,0.8,11,0,0,2,0,0,2,0.12,1,0,0,1,0,0
Lucas Digne,FRA,DF,Aston Villa,Premier League,31,1993,26.1,66,2.53,42,18,1,4,0,1,5,0.19,5,0,0,0,0,0
Kembo Diliwidi,FRA,DF,Lens,Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federico Dimarco,ITA,"DF,FW",Inter,Serie A,26,1997,23.8,96,4,57,26,2,9,2,0,14,0.58,10,2,0,2,0,0
Stole Dimitrievski,MKD,GK,Valencia,La Liga,30,1993,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,Bundesliga,23,2000,3.3,6,1.85,2,0,0,2,2,0,1,0.31,1,0,0,0,0,0
Eren Dinkçi,GER,"MF,FW",Freiburg,Bundesliga,22,2001,13.3,43,3.23,36,0,3,1,2,1,5,0.38,5,0,0,0,0,0
Sinaly Diomande,CIV,DF,Auxerre,Ligue 1,23,2001,21.6,21,0.97,19,0,0,2,0,0,5,0.23,3,0,0,2,0,0
Yan Diomandé,CIV,"MF,FW",Leganés,La Liga,17,2006,6.1,37,6.11,25,0,8,2,1,1,5,0.83,2,0,3,0,0,0
Lois Diony,FRA,FW,Angers,Ligue 1,31,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Issa Diop,FRA,DF,Fulham,Premier League,27,1997,14.9,6,0.4,5,0,0,1,0,0,0,0,0,0,0,0,0,0
Sérigné Diop,SEN,FW,Brest,Ligue 1,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,24,2000,11.8,47,3.98,37,4,0,2,4,0,9,0.76,7,1,0,0,1,0
Andy Diouf,FRA,MF,Lens,Ligue 1,21,2003,24.7,85,3.44,63,1,11,7,2,1,3,0.12,3,0,0,0,0,0
Yehvann Diouf,SEN,GK,Reims,Ligue 1,24,1999,34,7,0.21,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Assane Dioussé,SEN,MF,Auxerre,Ligue 1,26,1997,7.4,13,1.76,11,0,0,1,0,1,1,0.14,1,0,0,0,0,0
Axel Disasi,FRA,DF,Aston Villa,Premier League,26,1998,5.4,9,1.65,7,0,1,0,0,1,0,0,0,0,0,0,0,0
Axel Disasi,FRA,DF,Chelsea,Premier League,26,1998,4,2,0.49,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Dixon,ENG,DF,Everton,Premier League,19,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álvaro djaló,ESP,FW,Athletic Club,La Liga,24,1999,7.3,12,1.64,5,0,1,1,5,0,1,0.14,0,0,0,0,1,0
Djené,TOG,"DF,MF",Getafe,La Liga,32,1991,28.3,21,0.74,18,1,0,0,1,1,1,0.04,1,0,0,0,0,0
Nasser Djiga,BFA,DF,Wolves,Premier League,21,2002,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berat Djimsiti,ALB,DF,Atalanta,Serie A,31,1993,29.3,30,1.02,23,0,0,7,0,0,7,0.24,5,0,0,2,0,0
Marko Dmitrović,SRB,GK,Leganés,La Liga,32,1992,32,6,0.19,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Ritsu Doan,JPN,"FW,MF",Freiburg,Bundesliga,26,1998,31.8,111,3.49,68,2,14,9,15,3,16,0.5,11,1,1,1,1,1
Dodô,BRA,DF,Fiorentina,Serie A,25,1998,33.6,75,2.17,56,2,4,3,8,2,11,0.32,7,0,2,0,2,0
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,26,1998,34,32,0.94,21,0,0,8,2,1,4,0.12,2,0,0,2,0,0
Matt Doherty,IRL,DF,Wolves,Premier League,32,1992,23.4,25,1.07,19,3,1,1,1,0,3,0.13,3,0,0,0,0,0
Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,22,2002,16.8,79,4.69,60,1,13,1,3,1,14,0.83,11,0,3,0,0,0
Marc Domenech,ESP,"FW,MF",Mallorca,La Liga,18,2006,3.4,7,2.09,5,0,0,2,0,0,0,0,0,0,0,0,0,0
Álex Domínguez,ESP,GK,Toulouse,Ligue 1,26,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamín Domínguez,ARG,FW,Bologna,Serie A,20,2003,14.2,41,2.88,30,0,5,1,4,1,7,0.49,6,0,1,0,0,0
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,23,2001,13.1,6,0.46,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel Domínguez,ESP,FW,Sevilla,La Liga,21,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,26,1998,21.8,38,1.74,29,1,0,3,3,2,0,0,0,0,0,0,0,0
Sergi Dominguez,ESP,DF,Barcelona,La Liga,19,2005,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,25,1999,23.2,2,0.09,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Dorgu,DEN,DF,Manchester Utd,Premier League,19,2004,9.4,24,2.57,21,0,0,0,2,1,1,0.11,0,0,0,0,1,0
Patrick Dorgu,DEN,"DF,FW",Lecce,Serie A,19,2004,20.4,58,2.84,38,2,4,4,9,1,7,0.34,5,0,0,1,1,0
Alfie Dorrington,ENG,DF,Tottenham,Premier League,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,26,1998,0.4,1,2.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Niklas Dorsch,GER,MF,Heidenheim,Bundesliga,26,1998,14.8,35,2.36,22,10,0,0,1,2,2,0.13,2,0,0,0,0,0
Alberto Dossena,ITA,DF,Como,Serie A,25,1998,20.3,11,0.54,9,0,1,1,0,0,2,0.1,1,0,0,1,0,0
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,31,1993,28.5,58,2.04,52,0,3,2,0,1,3,0.11,2,0,0,0,0,1
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,24,2000,5,9,1.79,5,0,0,2,1,1,3,0.6,1,0,0,1,1,0
Sékou Doucoure,FRA,DF,Nantes,Ligue 1,19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Désiré Doué,FRA,"FW,MF",Paris S-G,Ligue 1,19,2005,19.2,109,5.66,84,1,14,4,5,1,24,1.25,15,0,4,1,3,1
Guela Doué,CIV,DF,Strasbourg,Ligue 1,21,2002,30.2,44,1.46,31,2,4,4,1,2,5,0.17,5,0,0,0,0,0
Douglas,BRA,MF,Nantes,Ligue 1,27,1997,25.6,34,1.33,26,2,1,3,1,1,3,0.12,2,0,0,1,0,0
Ismaël Doukouré,FRA,"DF,MF",Strasbourg,Ligue 1,21,2003,29.3,22,0.75,19,0,0,0,1,2,4,0.14,4,0,0,0,0,0
Issa Doumbia,ITA,MF,Venezia,Serie A,20,2003,10.4,17,1.63,14,0,1,1,0,1,2,0.19,2,0,0,0,0,0
Kamory Doumbia,MLI,"MF,FW",Brest,Ligue 1,21,2003,14.7,58,3.95,36,11,2,1,4,4,7,0.48,2,1,1,1,0,2
Amidou Doumbouya,FRA,DF,Nice,Ligue 1,16,2007,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anastasios Douvikas,GRE,FW,Como,Serie A,24,1999,6.4,19,2.95,15,0,2,1,1,0,1,0.16,1,0,0,0,0,0
Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,24,1999,7.8,11,1.41,5,0,2,1,3,0,1,0.13,1,0,0,0,0,0
Artem Dovbyk,UKR,FW,Roma,Serie A,27,1997,26.9,52,1.94,43,0,4,4,1,0,6,0.22,3,0,2,1,0,0
Flynn Downes,ENG,MF,Southampton,Premier League,25,1999,23.9,31,1.3,27,2,0,1,0,1,2,0.08,1,1,0,0,0,0
Tommy Doyle,ENG,MF,Wolves,Premier League,22,2001,5.4,17,3.13,11,4,1,1,0,0,3,0.55,2,0,1,0,0,0
Radu Drăgușin,ROU,DF,Tottenham,Premier League,22,2002,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0
Patrick Drewes,GER,GK,Bochum,Bundesliga,31,1993,21,2,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tim Drexler,GER,DF,Hoffenheim,Bundesliga,19,2005,4,6,1.51,6,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Domingos Duarte,POR,DF,Getafe,La Liga,29,1995,20.7,9,0.44,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,35,1989,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,30,1994,26.9,103,3.83,58,37,1,6,0,1,12,0.45,9,2,0,1,0,0
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,29,1994,26.6,73,2.74,45,18,2,3,4,1,7,0.26,5,2,0,0,0,0
Duk,CPV,"MF,FW",Leganés,La Liga,24,2000,2,7,3.54,5,0,1,1,0,0,1,0.51,0,0,0,1,0,0
Denzel Dumfries,NED,"DF,FW",Inter,Serie A,28,1996,20.7,55,2.53,38,6,3,3,4,1,4,0.18,2,0,0,1,1,0
Alfred Duncan,GHA,MF,Venezia,Serie A,31,1993,10.6,32,3.01,25,4,1,2,0,0,2,0.19,1,0,0,1,0,0
Lewis Dunk,ENG,DF,Brighton,Premier League,32,1991,23.1,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0
Jáder Durán,COL,FW,Aston Villa,Premier League,20,2003,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1
Pablo Durán,ESP,"FW,MF",Celta Vigo,La Liga,23,2001,15.5,30,1.94,22,0,2,4,2,0,4,0.26,3,0,0,1,0,0
Julien Duranville,BEL,"FW,MF",Dortmund,Bundesliga,18,2006,3.1,7,2.21,3,0,0,0,4,0,1,0.32,0,0,0,0,1,0
Hugo Duro,ESP,FW,Valencia,La Liga,24,1999,24.1,29,1.2,19,0,1,4,5,0,5,0.21,1,0,0,1,3,0
Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,27,1997,6,5,0.84,3,0,1,0,1,0,0,0,0,0,0,0,0,0
Paulo Dybala,ARG,"FW,MF",Roma,Serie A,30,1993,15.7,84,5.34,47,19,1,6,11,0,8,0.51,5,1,0,0,2,0
Stefan Džodić,SRB,"DF,MF",Montpellier,Ligue 1,19,2005,2.7,2,0.74,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Dźwigała,POL,"DF,MF",St. Pauli,Bundesliga,28,1995,4.1,5,1.21,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Aron Dønnum,NOR,"DF,MF",Toulouse,Ligue 1,26,1998,29.9,92,3.08,60,19,3,6,3,1,11,0.37,8,2,0,1,0,0
Enzo Ebosse,CMR,DF,Udinese,Serie A,25,1999,1,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Tyronne Ebuehi,NGA,"DF,MF",Empoli,Serie A,28,1995,0.8,1,1.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudio Echeverri,ARG,FW,Manchester City,Premier League,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ederson,BRA,GK,Manchester City,Premier League,30,1993,25.8,6,0.23,6,0,0,0,0,0,4,0.16,4,0,0,0,0,0
Éderson,BRA,MF,Atalanta,Serie A,25,1999,32,98,3.06,78,2,6,6,2,4,10,0.31,9,0,0,1,0,0
Noah Edjouma,FRA,"MF,FW",Toulouse,Ligue 1,18,2005,1.9,5,2.62,3,0,0,1,1,0,0,0,0,0,0,0,0,0
George Edmundson,ENG,DF,Ipswich Town,Premier League,26,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odsonne Édouard,FRA,"MF,FW",Crystal Palace,Premier League,26,1998,1.3,1,0.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Odsonne Édouard,FRA,FW,Leicester City,Premier League,26,1998,0.3,2,6.21,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Edozie,ENG,"DF,FW",Southampton,Premier League,21,2003,0.7,4,5.54,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Ronnie Edwards,ENG,DF,Southampton,Premier League,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johannes Eggestein,GER,FW,St. Pauli,Bundesliga,26,1998,20.6,43,2.09,36,0,0,4,2,1,4,0.19,4,0,0,0,0,0
Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,27,1996,31.6,51,1.61,42,0,1,3,4,1,5,0.16,5,0,0,0,0,0
Kingsley Ehizibue,NED,DF,Udinese,Serie A,29,1995,27.8,51,1.84,39,4,1,3,3,1,2,0.07,1,0,0,1,0,0
Chidera Ejuke,NGA,FW,Sevilla,La Liga,26,1998,10.7,45,4.19,28,5,9,0,3,0,2,0.19,2,0,0,0,0,0
Jeff Ekhator,ITA,"FW,MF",Genoa,Serie A,17,2006,8.5,21,2.46,15,0,0,2,4,0,2,0.23,1,0,0,1,0,0
Hugo Ekitike,FRA,FW,Eint Frankfurt,Bundesliga,22,2002,28.5,101,3.55,63,0,14,20,4,0,12,0.42,9,0,2,0,1,0
Jurgen Ekkelenkamp,NED,MF,Udinese,Serie A,24,2000,21,38,1.81,29,2,2,3,1,1,6,0.29,4,0,1,1,0,0
Jacques Ekomie,GAB,"DF,FW",Angers,Ligue 1,20,2003,7.7,4,0.52,3,0,0,0,0,1,1,0.13,1,0,0,0,0,0
Emmanuel Ekong,SWE,"MF,FW",Empoli,Serie A,22,2002,2.1,6,2.9,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Caleb Ekuban,GHA,FW,Genoa,Serie A,30,1994,6.2,14,2.27,11,0,0,2,1,0,3,0.49,3,0,0,0,0,0
Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,Ligue 1,22,2002,28.6,40,1.45,37,1,0,1,1,0,4,0.14,4,0,0,0,0,0
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,Premier League,22,2002,27.8,102,3.67,56,23,5,7,11,0,18,0.65,10,4,1,0,3,0
Meschak Elia,COD,FW,Nantes,Ligue 1,26,1997,1.9,6,3.18,3,2,0,1,0,0,0,0,0,0,0,0,0,0
Mikael Ellertsson,ISL,"DF,MF",Venezia,Serie A,22,2002,27.4,46,1.68,32,1,4,3,5,1,5,0.18,4,0,0,0,1,0
Harvey Elliott,ENG,MF,Liverpool,Premier League,21,2003,4.1,21,5.11,17,3,1,0,0,0,3,0.73,3,0,0,0,0,0
Elif Elmas,MKD,"FW,MF",Torino,Serie A,24,1999,11.3,29,2.56,19,0,4,4,2,0,3,0.26,1,0,1,1,0,0
Elif Elmas,MKD,MF,RB Leipzig,Bundesliga,24,1999,0.5,1,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,30,1994,16.2,11,0.68,11,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Nico Elvedi,SUI,DF,Gladbach,Bundesliga,27,1996,23.7,16,0.67,15,0,0,1,0,0,4,0.17,3,0,0,1,0,0
Adri Embarba,ESP,"FW,MF",Rayo Vallecano,La Liga,32,1992,17.9,46,2.58,28,10,1,1,6,0,2,0.11,2,0,0,0,0,0
Breel Embolo,SUI,"FW,MF",Monaco,Ligue 1,27,1997,20.5,54,2.64,42,0,2,4,4,2,10,0.49,6,0,1,2,1,0
Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,21,2003,25.5,32,1.26,25,0,3,1,3,0,4,0.16,3,0,1,0,0,0
Emerson,BRA,DF,Milan,Serie A,25,1999,15.3,33,2.16,29,0,0,2,2,0,1,0.07,1,0,0,0,0,0
Yunus Emre Konak,TUR,"FW,MF",Brentford,Premier League,18,2006,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Enciso,PAR,"MF,FW",Ipswich Town,Premier League,20,2004,9.7,29,3,16,4,6,2,0,1,4,0.41,2,1,1,0,0,0
Julio Enciso,PAR,"MF,FW",Brighton,Premier League,20,2004,3.3,12,3.69,5,1,3,1,2,0,0,0,0,0,0,0,0,0
Wataru Endo,JPN,"MF,DF",Liverpool,Premier League,31,1993,3,6,1.96,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Endrick,BRA,FW,Real Madrid,La Liga,18,2006,4,8,1.96,6,0,1,0,1,0,2,0.49,0,0,1,0,1,0
Yannik Engelhardt,GER,"MF,DF",Como,Serie A,23,2001,12.9,24,1.86,20,1,1,0,1,1,2,0.15,2,0,0,0,0,0
Arne Engels,BEL,"MF,FW",Augsburg,Bundesliga,20,2003,0.9,1,1.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Christian Eriksen,DEN,MF,Manchester Utd,Premier League,32,1992,11.8,56,4.74,38,15,0,3,0,0,7,0.59,5,2,0,0,0,0
Martin Erlic,CRO,DF,Bologna,Serie A,26,1998,3.7,4,1.08,2,0,0,1,1,0,1,0.27,0,0,0,0,1,0
Patrick Erras,GER,DF,Holstein Kiel,Bundesliga,29,1995,9.2,8,0.87,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Espino,URU,DF,Rayo Vallecano,La Liga,32,1992,9.3,13,1.4,8,4,1,0,0,0,1,0.11,1,0,0,0,0,0
Sebastiano Esposito,ITA,"FW,MF",Empoli,Serie A,22,2002,25.9,79,3.05,52,4,6,9,7,1,6,0.23,0,0,2,3,1,0
Romain Esse,ENG,MF,Crystal Palace,Premier League,19,2005,1.5,8,5.18,6,0,1,0,1,0,3,1.94,1,0,1,0,1,0
Samuel Essende,COD,FW,Augsburg,Bundesliga,26,1998,18.2,27,1.48,14,1,3,4,5,0,3,0.16,2,0,1,0,0,0
Dario Essugo,POR,MF,Las Palmas,La Liga,19,2005,21.5,36,1.67,25,0,3,3,3,2,1,0.05,1,0,0,0,0,0
Estanis,ESP,FW,Bologna,Serie A,20,2003,0.1,3,30,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Nahuel Estévez,ARG,MF,Parma,Serie A,28,1995,7.3,13,1.78,7,4,0,1,0,1,1,0.14,0,0,0,0,0,1
Pervis Estupiñán,ECU,DF,Brighton,Premier League,26,1998,26.7,58,2.17,39,13,0,2,4,0,4,0.15,3,0,0,0,1,0
Etienne Eto'o,CMR,FW,Rayo Vallecano,La Liga,21,2002,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Etta,CMR,"MF,FW",Villarreal,La Liga,20,2003,0.4,1,2.43,0,0,0,0,1,0,0,0,0,0,0,0,0,0
