player,nation,position,squad,competition,age,born,90s,shotcreatingactions,shotcreatingaction_per90,sca_livepasses,sca_deadballs,sca_takeons,sca_shots,sca_foulsdrawn,sca_defaction,goalcreatingactions,gca_per90,gca_passlive,gca_deadball,gca_takeons,gca_shots,gca_foulsdrawn,gca_defaction
Gabriel Bares,SUI,"MF,DF",Montpellier,Ligue 1,23,2000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borna Barišić,CRO,DF,Leganés,La Liga,31,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Téo Barisic,FRA,DF,Lyon,Ligue 1,19,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kike Barja,ESP,"FW,MF",Osasuna,La Liga,27,1997,3.5,18,5.14,9,4,3,0,2,0,2,0.57,1,0,0,0,1,0
Ross Barkley,ENG,MF,Aston Villa,Premier League,30,1993,6.5,18,2.78,15,1,2,0,0,0,3,0.46,3,0,0,0,0,0
Aymen Barkok,MAR,MF,Mainz 05,Bundesliga,26,1998,0.8,2,2.47,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Barnes,ENG,FW,Newcastle Utd,Premier League,26,1997,19.5,64,3.27,44,1,7,6,6,0,9,0.46,6,0,1,1,1,0
Enzo Barrenechea,ARG,MF,Valencia,La Liga,23,2001,24.3,44,1.81,35,1,0,1,3,4,8,0.33,5,1,0,0,1,1
Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,La Liga,22,2001,14,42,2.99,31,1,2,5,1,2,6,0.43,4,0,0,2,0,0
Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,21,2003,25.9,66,2.55,58,1,1,3,1,2,11,0.43,11,0,0,0,0,0
Thierno Barry,FRA,FW,Villarreal,La Liga,21,2002,25.8,46,1.78,32,0,3,6,3,2,6,0.23,5,0,1,0,0,0
Davide Bartesaghi,ITA,DF,Milan,Serie A,18,2005,1.3,2,1.53,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Bartra,ESP,DF,Betis,La Liga,33,1991,23.3,13,0.56,10,0,1,2,0,0,3,0.13,1,0,0,2,0,0
Federico Baschirotto,ITA,DF,Lecce,Serie A,27,1996,38,17,0.45,13,2,0,2,0,0,1,0.03,0,0,0,1,0,0
Daniele Baselli,ITA,MF,Como,Serie A,32,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Bassey,NGA,DF,Fulham,Premier League,24,1999,34.2,23,0.67,19,1,2,0,0,1,3,0.09,2,0,0,0,0,1
Aboubacar Bassinga,CIV,MF,Las Palmas,La Liga,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Bastoni,ITA,DF,Inter,Serie A,25,1999,25.9,71,2.66,61,4,0,1,3,2,11,0.41,9,1,0,0,1,0
Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,28,1996,32,7,0.22,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Michy Batshuayi,BEL,FW,Eint Frankfurt,Bundesliga,30,1993,3.3,4,1.2,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Dylan Batubinsika,COD,DF,Saint-Étienne,Ligue 1,28,1996,22.4,9,0.4,8,0,1,0,0,0,0,0,0,0,0,0,0,0
Maximilian Bauer,GER,DF,Augsburg,Bundesliga,24,2000,7.3,4,0.55,2,0,0,0,1,1,0,0,0,0,0,0,0,0
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34,1990,28,10,0.36,6,4,0,0,0,0,2,0.07,0,2,0,0,0,0
Christoph Baumgartner,AUT,MF,RB Leipzig,Bundesliga,24,1999,17.9,42,2.35,31,0,3,6,1,1,6,0.34,3,0,1,2,0,0
Rafael Bauza,ESP,MF,Espanyol,La Liga,19,2005,2,1,0.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Altay Bayındır,TUR,GK,Manchester Utd,Premier League,26,1998,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ihlas Bebou,TOG,MF,Hoffenheim,Bundesliga,30,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Beck,GER,"MF,FW",Heidenheim,Bundesliga,27,1997,17.8,56,3.16,37,4,10,4,1,0,4,0.23,2,1,1,0,0,0
Sheraldo Becker,SUR,"FW,MF",Real Sociedad,La Liga,29,1995,11.1,21,1.9,17,0,2,1,1,0,1,0.09,1,0,0,0,0,0
Timo Becker,GER,DF,Holstein Kiel,Bundesliga,27,1997,27.2,30,1.1,22,1,2,4,0,1,8,0.29,5,0,1,1,0,1
Jan Bednarek,POL,DF,Southampton,Premier League,28,1996,28.1,16,0.57,15,0,0,1,0,0,0,0,0,0,0,0,0,0
Donny van de Beek,NED,MF,Girona,La Liga,27,1997,15.8,28,1.77,27,0,0,1,0,0,2,0.13,2,0,0,0,0,0
Hannes Behrens,GER,DF,Hoffenheim,Bundesliga,,,0.3,2,6.21,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Behrens,GER,FW,Wolfsburg,Bundesliga,33,1991,1.9,8,4.24,5,1,0,1,1,0,0,0,0,0,0,0,0,0
Maximilian Beier,GER,"FW,MF",Dortmund,Bundesliga,21,2002,17.7,55,3.11,38,0,6,4,3,4,7,0.4,5,0,1,1,0,0
Luken Beitia,ESP,DF,Real Sociedad,La Liga,20,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismael Bekhoucha,MAR,"MF,DF",Getafe,La Liga,19,2004,0.8,1,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reda Belahyane,MAR,MF,Hellas Verona,Serie A,20,2004,18.4,41,2.23,34,0,3,1,1,2,3,0.16,2,0,0,0,0,1
Reda Belahyane,MAR,MF,Lazio,Serie A,20,2004,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haris Belkebla,ALG,MF,Angers,Ligue 1,30,1994,19.9,14,0.7,14,0,0,0,0,0,4,0.2,4,0,0,0,0,0
Yassin Belkhdim,FRA,MF,Angers,Ligue 1,22,2002,16.9,12,0.71,10,0,0,2,0,0,1,0.06,1,0,0,0,0,0
Stefan Bell,GER,DF,Mainz 05,Bundesliga,32,1991,16,10,0.63,7,0,0,2,0,1,3,0.19,2,0,0,1,0,0
