player,nation,position,squad,competition,age,born,90s,yellow_cards,red_cards,second_yellowcards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_won%
Federico Accornero,ITA,MF,Genoa,Serie A,20,2004,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Francesco Acerbi,ITA,DF,Inter,Serie A,36,1988,19,0,0,0,11,18,2,10,26,19,0,0,0,62,61,30,67
Joshua Acheampong,ENG,DF,Chelsea,Premier League,18,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3
Akor Adams,NGA,FW,Sevilla,La Liga,24,2000,1.5,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10,37.5
Akor Adams,NGA,FW,Montpellier,Ligue 1,24,2000,11.9,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9
Che Adams,SCO,FW,Torino,Serie A,28,1996,29.5,2,0,0,29,40,23,10,2,6,0,0,0,50,36,62,36.7
Tyler Adams,USA,MF,Bournemouth,Premier League,25,1999,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23,2001,17.2,5,1,0,38,22,17,5,12,3,0,0,0,52,53,108,32.9
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,26,1997,15.7,4,0,0,8,9,1,0,11,13,0,0,0,41,42,28,60
Martin Adeline,FRA,MF,Reims,Ligue 1,20,2003,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22,2002,15.9,4,0,0,27,18,4,26,7,14,0,0,0,48,9,13,40.9
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22,2002,12.2,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,8.5,3,0,0,15,9,7,33,0,9,2,0,0,30,21,26,44.7
Yacine Adli,FRA,MF,Fiorentina,Serie A,24,2000,13.5,3,1,1,9,20,0,63,6,19,0,0,0,77,5,16,23.8
Adrián,ESP,GK,Betis,La Liga,37,1987,19,3,0,0,0,4,0,0,0,0,0,0,0,20,2,1,66.7
Adryelson,BRA,DF,Lyon,Ligue 1,26,1998,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100
Vasilije Adžić,MNE,"MF,FW",Juventus,Serie A,18,2006,0.5,0,0,0,1,1,0,0,0,2,0,0,0,3,2,3,40
Michel Aebischer,SUI,MF,Bologna,Serie A,27,1997,8,2,0,0,16,16,0,14,7,13,0,0,0,35,5,9,35.7
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,3,0,0,21,42,9,53,8,8,1,0,0,72,19,45,29.7
Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27,1997,15.7,3,0,0,7,4,1,2,12,19,0,0,0,83,26,20,56.5
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27,1997,14,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,18,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Jeremy Agbonifo,SWE,"FW,MF",Lens,Ligue 1,18,2005,3.3,1,0,0,14,5,2,7,1,6,0,0,0,9,1,9,10
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23,2000,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100
Lucien Agoume,FRA,MF,Sevilla,La Liga,22,2002,23.5,5,1,0,49,6,2,18,41,32,0,1,0,136,42,40,51.2
Felix Agu,NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,1,0,0,11,43,4,49,21,14,0,0,1,67,21,30,41.2
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28,1996,4.9,3,0,0,5,8,0,12,4,2,0,0,0,37,3,2,60
Lorenzo Aguado,ESP,DF,Real Madrid,La Liga,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28,1996,19.6,5,0,0,11,19,0,2,13,24,0,1,0,73,61,32,65.6
Ruben Aguilar,FRA,"DF,MF",Lens,Ligue 1,31,1993,12.5,4,0,0,14,15,5,47,13,18,0,0,0,79,10,16,38.5
Naouirou Ahamada,FRA,"MF,FW",Rennes,Ligue 1,22,2002,0.6,0,0,0,1,0,0,1,2,0,0,0,0,7,0,1,0
Honest Ahanor,ITA,"DF,MF",Genoa,Serie A,16,2008,3,0,0,0,2,8,0,4,1,5,0,0,0,14,5,3,62.5
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30,1994,21.8,7,0,0,50,25,1,2,33,36,0,0,0,100,38,23,62.3
Joseph Aidoo,GHA,DF,Valladolid,La Liga,28,1995,6.5,0,0,0,4,2,0,0,5,5,0,0,0,25,9,8,52.9
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,28,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
