player,nation,position,squad,competition,age,born,matches_played,starts,min,90s,goals,assists,g+a,npg,pk,pk_att,yellowcards,redcards,xg,npxg,xag,npxg+xag,progressive_carries,progressive_passes,progressivepassses_rec,goals_per90,assist_per90,g+a_per90,npg_per90,npg+ass_per90,xg_per90,xag_per90,xg+xag_per90,npxg_per90,npxg+xag_per90
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,26,1997,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07
Martin Adeline,FRA,MF,Reims,Ligue 1,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22,2002,25,17,1433,15.9,7,6,13,7,0,0,4,0,5.5,5.5,6,11.5,68,28,153,0.44,0.38,0.82,0.44,0.82,0.34,0.38,0.72,0.34,0.72
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22,2002,29,12,1097,12.2,2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,50,18,136,0.16,0.16,0.33,0.16,0.33,0.2,0.2,0.4,0.2,0.4
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,20,6,766,8.5,2,0,2,2,0,0,3,0,2.7,2.7,0.7,3.4,37,24,100,0.23,0,0.23,0.23,0.23,0.32,0.08,0.4,0.32,0.4
Yacine Adli,FRA,MF,Fiorentina,Serie A,24,2000,25,14,1219,13.5,4,6,10,4,0,0,3,1,1,1,2.4,3.4,24,103,30,0.3,0.44,0.74,0.3,0.74,0.08,x`,0.25,0.08,0.25
Adrián,ESP,GK,Betis,La Liga,37,1987,19,19,1710,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adryelson,BRA,DF,Lyon,Ligue 1,26,1998,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vasilije Adžić,MNE,"MF,FW",Juventus,Serie A,18,2006,6,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0.05,0,0.05,0.05,0.05
Michel Aebischer,SUI,MF,Bologna,Serie A,27,1997,14,9,724,8,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,8,33,17,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,32,17,1639,18.2,3,1,4,3,0,0,3,0,3.1,3.1,3.8,7,53,32,108,0.16,0.05,0.22,0.16,0.22,0.17,0.21,0.38,0.17,0.38
Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27,1997,16,16,1410,15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27,1997,14,14,1260,14,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,18,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,1,0,0,0,0,0,0.29,0.5,0.79,0.29,0.79
Jeremy Agbonifo,SWE,"FW,MF",Lens,Ligue 1,18,2005,8,1,300,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.2,0.9,13,6,36,0.3,0,0.3,0.3,0.3,0.21,0.06,0.26,0.21,0.26
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucien Agoume,FRA,MF,Sevilla,La Liga,22,2002,35,24,2114,23.5,1,3,4,1,0,0,5,1,0.9,0.9,2.5,3.3,29,135,23,0.04,0.13,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14
Felix Agu,NGA,DF,Werder Bremen,Bundesliga,24,1999,22,21,1751,19.5,3,0,3,3,0,0,1,0,1.4,1.4,1.8,3.2,33,43,105,0.15,0,0.15,0.15,0.15,0.07,0.09,0.17,0.07,0.17
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28,1996,16,4,443,4.9,0,1,1,0,0,0,3,0,0.6,0.6,0.6,1.2,15,37,4,0,0.2,0.2,0,0.2,0.12,0.12,0.24,0.12,0.24
Lorenzo Aguado,ESP,DF,Real Madrid,La Liga,21,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28,1996,21,21,1760,19.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,75,1,0,0,0,0,0,0.12,0.01,0.13,0.12,0.13
Ruben Aguilar,FRA,"DF,MF",Lens,Ligue 1,31,1993,16,13,1124,12.5,1,2,3,1,0,0,4,0,0.8,0.8,1.9,2.7,32,74,101,0.08,0.16,0.24,0.08,0.24,0.06,0.15,0.21,0.06,0.21
Naouirou Ahamada,FRA,"MF,FW",Rennes,Ligue 1,22,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Honest Ahanor,ITA,"DF,MF",Genoa,Serie A,16,2008,6,3,270,3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,3,3,7,0,0,0,0,0,0.17,0.04,0.21,0.17,0.21
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30,1994,26,26,1959,21.8,2,0,2,2,0,0,7,0,1.8,1.8,1,2.8,15,68,16,0.09,0,0.09,0.09,0.09,0.08,0.05,0.13,0.08,0.13
Joseph Aidoo,GHA,DF,Valladolid,La Liga,28,1995,8,6,583,6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,28,1995,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,5,8,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,27,1996,35,35,2995,33.3,2,1,3,2,0,0,5,0,0.6,0.6,1.4,2.1,67,107,67,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23,2001,37,37,3109,34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.2,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24
Junior Ajayi,CIV,FW,Hellas Verona,Serie A,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26,1998,24,17,1438,16,0,0,0,0,0,0,5,0,1,1,1.2,2.2,27,56,44,0,0,0,0,0,0.06,0.08,0.14,0.06,0.14
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30,1994,31,29,2495,27.7,13,2,15,13,0,1,5,0,10.4,9.6,3.1,12.7,10,41,124,0.47,0.07,0.54,0.47,0.54,0.38,0.11,0.49,0.35,0.46
Manuel Akanji,SUI,DF,Manchester City,Premier League,29,1995,26,23,2014,22.4,0,0,0,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,20,2003,9,6,500,5.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,4,29,9,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03
Nathan Aké,NED,DF,Manchester City,Premier League,29,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,12,50,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1,1.6,30,12,64,0.15,0,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23
Sergio Akieme,ESP,DF,Reims,Ligue 1,26,1997,30,29,2523,28,2,3,5,2,0,0,5,0,1.5,1.5,2.5,4,55,86,97,0.07,0.11,0.18,0.07,0.18,0.05,0.09,0.14,0.05,0.14
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22,2002,32,27,2406,26.7,5,10,15,4,1,1,2,0,9.2,8.4,7.3,15.7,127,173,226,0.19,0.37,0.56,0.15,0.52,0.35,0.27,0.62,0.32,0.59
Paul Akouokou,CIV,MF,Lyon,Ligue 1,26,1997,2,0,19,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22,2001,31,29,2486,27.6,0,1,1,0,0,0,7,0,0.3,0.3,0.9,1.2,27,74,24,0,0.04,0.04,0,0.04,0.01,0.03,0.04,0.01,0.04
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,31,1992,14,12,966,10.7,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.6,21,19,22,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29,1995,32,23,2220,24.7,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,14,98,16,0,0,0,0,0,0,0.01,0.02,0,0.02
Chuba Akpom,ENG,FW,Lille,Ligue 1,28,1995,14,6,639,7.1,3,1,4,2,1,2,0,0,5,3.4,0.5,3.9,6,7,38,0.42,0.14,0.56,0.28,0.42,0.7,0.08,0.78,0.48,0.56
David Alaba,AUT,DF,Real Madrid,La Liga,32,1992,7,4,317,3.5,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,7,4,0,0,0,0,0,0,0.02,0.02,0,0.02
Ibrahim Alani,NGA,MF,Valladolid,La Liga,18,2006,3,1,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,6,1.45,0,1.45,1.45,1.45,0.9,0.14,1.04,0.9,1.04
Raúl Albiol,ESP,DF,Villarreal,La Liga,38,1985,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0,0.1,3,34,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0,0,0,0,0,0.62,0.86,1.48,0.62,1.48
Carlos Alcaraz,ARG,"FW,MF",Everton,Premier League,21,2002,15,7,764,8.5,2,3,5,2,0,0,4,0,1.7,1.7,1.6,3.4,19,42,21,0.24,0.35,0.59,0.24,0.59,0.2,0.19,0.4,0.2,0.4
Omar Alderete,PAR,DF,Getafe,La Liga,27,1996,34,34,2971,33,1,0,1,1,0,0,8,0,1.7,1.7,0.9,2.6,25,112,7,0.03,0,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08
