player,nation,position,squad,competition,age,born,matches_played,starts,min,90s,goals,assists,g+a,npg,pk,pk_att,yellowcards,redcards,xg,npxg,xag,npxg+xag,progressive_carries,progressive_passes,progressivepassses_rec,goals_per90,assist_per90,g+a_per90,npg_per90,npg+ass_per90,xg_per90,xag_per90,xg+xag_per90,npxg_per90,npxg+xag_per90
Iker Bravo,ESP,"FW,MF",Udinese,Serie A,19,2005,29,4,682,7.6,2,1,3,2,0,0,3,0,0.9,0.9,0.4,1.3,7,18,39,0.26,0.13,0.4,0.26,0.4,0.12,0.06,0.18,0.12,0.18
James Bree,ENG,DF,Southampton,Premier League,26,1997,17,13,1075,11.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1,13,34,43,0,0.08,0.08,0,0.08,0.01,0.08,0.08,0.01,0.08
Tim Breithaupt,GER,MF,Augsburg,Bundesliga,22,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0,0.75,0.75,0,0.75,0.04,0.29,0.33,0.04,0.33
Gleison Bremer,BRA,DF,Juventus,Serie A,27,1997,6,6,540,6,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,2,21,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Brenner,BRA,"MF,FW",Udinese,Serie A,24,2000,9,5,386,4.3,1,2,3,1,0,0,0,0,0.6,0.6,0.5,1.1,5,7,16,0.23,0.47,0.7,0.23,0.7,0.15,0.11,0.26,0.15,0.26
Ben Brereton,CHI,FW,Southampton,Premier League,25,1999,10,4,449,5,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1,12,9,42,0,0,0,0,0,0.18,0.02,0.2,0.18,0.2
Marco Brescianini,ITA,MF,Atalanta,Serie A,24,2000,29,9,991,11,4,2,6,4,0,0,1,0,3.1,3.1,1,4.1,46,36,69,0.36,0.18,0.54,0.36,0.54,0.28,0.09,0.37,0.28,0.37
Maximilian Breunig,GER,"FW,MF",Heidenheim,Bundesliga,23,2000,13,2,350,3.9,2,0,2,1,1,1,0,0,3.4,2.7,0.2,2.9,5,7,13,0.51,0,0.51,0.26,0.26,0.89,0.05,0.94,0.68,0.74
Anthony Briançon,FRA,DF,Saint-Étienne,Ligue 1,29,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Broadhead,WAL,"MF,FW",Ipswich Town,Premier League,26,1998,18,7,702,7.8,2,0,2,2,0,0,1,0,1.7,1.7,0.7,2.4,20,14,33,0.26,0,0.26,0.26,0.26,0.22,0.09,0.31,0.22,0.31
Armando Broja,ALB,FW,Everton,Premier League,22,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08
David Brooks,WAL,"FW,MF",Bournemouth,Premier League,27,1997,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,1.9,4.4,35,35,83,0.19,0,0.19,0.19,0.19,0.24,0.18,0.41,0.24,0.41
Arvid Brorsson,SWE,DF,Monza,Serie A,25,1999,6,3,362,4,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0
Moritz Broschinski,GER,"FW,MF",Bochum,Bundesliga,23,2000,33,15,1390,15.4,1,3,4,1,0,0,1,0,4.2,4.2,1.8,6,37,20,130,0.06,0.19,0.26,0.06,0.26,0.27,0.12,0.39,0.27,0.39
Nathaniel Brown,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2003,26,22,1947,21.6,3,6,9,3,0,0,2,0,2.2,2.2,5.1,7.3,45,63,119,0.14,0.28,0.42,0.14,0.42,0.1,0.24,0.34,0.1,0.34
Jacob Bruun Larsen,DEN,"FW,MF",Hoffenheim,Bundesliga,25,1998,12,3,400,4.4,2,2,4,2,0,0,0,0,2.3,2.3,0.6,2.9,16,16,41,0.45,0.45,0.9,0.45,0.9,0.52,0.15,0.66,0.52,0.66
Jacob Bruun Larsen,DEN,"MF,FW",Stuttgart,Bundesliga,25,1998,15,3,414,4.6,1,0,1,1,0,0,1,0,0.6,0.6,1.2,1.8,19,19,40,0.22,0,0.22,0.22,0.22,0.13,0.27,0.39,0.13,0.39
Tajon Buchanan,CAN,"DF,FW",Inter,Serie A,25,1999,6,0,95,1.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,6,2,8,0,0,0,0,0,0,0.13,0.13,0,0.13
Tajon Buchanan,CAN,MF,Villarreal,La Liga,25,1999,13,4,416,4.6,1,2,3,1,0,0,2,0,0.9,0.9,0.5,1.4,19,5,45,0.22,0.43,0.65,0.22,0.65,0.19,0.12,0.31,0.19,0.31
Ante Budimir,CRO,FW,Osasuna,La Liga,33,1991,38,34,2952,32.8,21,4,25,13,8,8,4,0,18.3,12.3,1.7,13.9,23,24,134,0.64,0.12,0.76,0.4,0.52,0.56,0.05,0.61,0.37,0.42
Emi Buendía,ARG,"MF,FW",Aston Villa,Premier League,27,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0,0.7,3,7,6,0,0,0,0,0,0.6,0.02,0.62,0.6,0.62
Emi Buendía,ARG,MF,Leverkusen,Bundesliga,27,1996,11,3,257,2.9,2,0,2,2,0,0,0,0,0.9,0.9,0.9,1.8,2,14,24,0.7,0,0.7,0.7,0.7,0.31,0.3,0.61,0.31,0.61
Manu Bueno,ESP,"MF,FW",Sevilla,La Liga,20,2004,9,1,140,1.6,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,2,5,5,0.64,0,0.64,0.64,0.64,0.08,0,0.08,0.08,0.08
Santiago Bueno,URU,DF,Wolves,Premier League,25,1998,29,18,1687,18.7,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,1,28,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Endika Buján,ESP,FW,Athletic Club,La Liga,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Marius Bülter,GER,"FW,DF",Hoffenheim,Bundesliga,31,1993,25,22,1729,19.2,7,2,9,7,0,0,4,0,3.7,3.7,3.1,6.8,57,35,155,0.36,0.1,0.47,0.36,0.47,0.19,0.16,0.35,0.19,0.35
Facundo Buonanotte,ARG,"FW,MF",Leicester City,Premier League,19,2004,31,14,1523,16.9,5,2,7,5,0,0,8,0,3.9,3.9,3.1,7,39,54,74,0.3,0.12,0.41,0.3,0.41,0.23,0.18,0.41,0.23,0.41
Alessandro Buongiorno,ITA,DF,Napoli,Serie A,25,1999,22,22,1924,21.4,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,27,82,8,0.05,0,0.05,0.05,0.05,0.04,0.03,0.07,0.04,0.07
Cameron Burgess,AUS,DF,Ipswich Town,Premier League,28,1995,18,16,1541,17.1,0,2,2,0,0,0,0,0,1.1,1.1,0.5,1.6,2,42,4,0,0.12,0.12,0,0.12,0.06,0.03,0.09,0.06,0.09
Jonathan Burkardt,GER,FW,Mainz 05,Bundesliga,24,2000,29,28,2109,23.4,18,2,20,16,2,2,0,0,14.8,13.2,3.1,16.3,32,42,157,0.77,0.09,0.85,0.68,0.77,0.63,0.13,0.76,0.56,0.7
Oliver Burke,SCO,FW,Werder Bremen,Bundesliga,27,1997,25,9,908,10.1,5,0,5,5,0,0,4,0,4.1,4.1,1.7,5.8,22,15,88,0.5,0,0.5,0.5,0.5,0.41,0.17,0.57,0.41,0.57
Dan Burn,ENG,DF,Newcastle Utd,Premier League,32,1992,37,37,3330,37,1,1,2,1,0,0,11,0,2,2,0.9,2.8,12,75,14,0.03,0.03,0.05,0.03,0.05,0.05,0.02,0.08,0.05,0.08
Rareș-Cătălin Burnete,ROU,FW,Lecce,Serie A,20,2004,4,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,4,0,0,0,0,0,0.25,0,0.25,0.25,0.25
Wes Burns,WAL,"FW,DF",Ipswich Town,Premier League,29,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0,0.1,0.1,0,0.1,0.05,0.16,0.21,0.05,0.21
Marnon Busch,GER,"DF,MF",Heidenheim,Bundesliga,29,1994,23,15,1396,15.5,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.5,22,63,43,0,0.06,0.06,0,0.06,0.02,0.07,0.1,0.02,0.1
Gianluca Busio,USA,MF,Venezia,Serie A,22,2002,33,28,2518,28,2,0,2,2,0,0,4,0,2.4,2.4,1.6,4,60,95,135,0.07,0,0.07,0.07,0.07,0.09,0.06,0.14,0.09,0.14
Aurélio Buta,POR,DF,Reims,Ligue 1,27,1997,27,24,1970,21.9,0,1,1,0,0,0,5,0,0.3,0.3,0.8,1.1,28,83,64,0,0.05,0.05,0,0.05,0.01,0.04,0.05,0.01,0.05
Jean Butez,FRA,GK,Como,Serie A,29,1995,19,18,1666,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nathan Butler-Oyedeji,ENG,FW,Arsenal,Premier League,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.94,0,0.94,0.94,0.94
Marcin Bułka,POL,GK,Nice,Ligue 1,24,1999,34,34,3060,34,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Pau Cabanes,ESP,"MF,FW",Villarreal,La Liga,19,2005,10,0,163,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,10,11,33,0.55,0,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47
Pau Cabanes,ESP,"MF,FW",Alavés,La Liga,19,2005,6,2,188,2.1,0,0,0,0,0,0,1,0,0,0,0,0.1,15,5,15,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
Rémy Cabella,FRA,"FW,MF",Lille,Ligue 1,34,1990,23,12,1011,11.2,1,2,3,1,0,0,1,0,4,4,2.3,6.2,45,77,130,0.09,0.18,0.27,0.09,0.27,0.35,0.2,0.55,0.35,0.55
Leandro Cabrera,URU,DF,Espanyol,La Liga,33,1991,33,32,2869,31.9,4,2,6,4,0,0,4,1,1.1,1.1,0.9,2.1,9,69,6,0.13,0.06,0.19,0.13,0.19,0.03,0.03,0.06,0.03,0.06
Liberato Cacace,NZL,"MF,DF",Empoli,Serie A,23,2000,33,24,2230,24.8,2,4,6,2,0,0,6,0,2.6,2.6,1.7,4.3,53,70,97,0.08,0.16,0.24,0.08,0.24,0.11,0.07,0.17,0.11,0.17
Alessio Cacciamani,ITA,"MF,DF",Torino,Serie A,17,2007,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
Anthony Caci,FRA,DF,Mainz 05,Bundesliga,27,1997,33,33,2684,29.8,1,7,8,1,0,0,6,0,3.1,3.1,6.6,9.7,45,133,152,0.03,0.23,0.27,0.03,0.27,0.1,0.22,0.32,0.1,0.32
Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,Ligue 1,27,1997,15,9,732,8.1,1,0,1,1,0,0,3,1,1.5,1.5,1.3,2.8,19,16,51,0.12,0,0.12,0.12,0.12,0.18,0.16,0.34,0.18,0.34
Moisés Caicedo,ECU,"MF,DF",Chelsea,Premier League,22,2001,38,38,3351,37.2,1,2,3,1,0,0,11,0,0.8,0.8,3,3.8,43,215,37,0.03,0.05,0.08,0.03,0.08,0.02,0.08,0.1,0.02,0.1
Tom Cairney,SCO,MF,Fulham,Premier League,33,1991,25,3,628,7,2,0,2,2,0,0,3,1,0.8,0.8,1.1,1.8,18,53,33,0.29,0,0.29,0.29,0.29,0.11,0.15,0.26,0.11,0.26
Jens Cajuste,SWE,MF,Ipswich Town,Premier League,24,1999,30,25,1959,21.8,1,1,2,1,0,0,2,0,0.7,0.7,0.8,1.5,26,59,20,0.05,0.05,0.09,0.05,0.09,0.03,0.04,0.07,0.03,0.07
Davide Calabria,ITA,DF,Bologna,Serie A,27,1996,11,7,632,7,0,1,1,0,0,0,3,0,0.1,0.1,1.3,1.4,7,40,20,0,0.14,0.14,0,0.14,0.01,0.18,0.19,0.01,0.19
Davide Calabria,ITA,DF,Milan,Serie A,27,1996,7,4,316,3.5,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8,24,31,0,0,0,0,0,0.08,0.05,0.14,0.08,0.14
Riccardo Calafiori,ITA,DF,Arsenal,Premier League,22,2002,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,22,54,29,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11
Luca Caldirola,ITA,DF,Monza,Serie A,33,1991,14,10,876,9.7,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4,5,22,4,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
Fernando Calero,ESP,"DF,MF",Espanyol,La Liga,28,1995,21,6,715,7.9,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,0,17,2,0.13,0,0.13,0.13,0.13,0.03,0.01,0.04,0.03,0.04
Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,27,1996,19,17,1584,17.6,1,0,1,1,0,0,8,0,2.1,2.1,0.1,2.2,4,46,0,0.06,0,0.06,0.06,0.06,0.12,0.01,0.13,0.12,0.13
Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,30,1994,28,25,1879,20.9,5,6,11,2,3,4,5,0,4.4,1.3,5.6,6.9,52,173,51,0.24,0.29,0.53,0.1,0.38,0.2,0.26,0.46,0.06,0.32
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,27,1997,26,19,1609,17.9,3,1,4,3,0,0,2,0,6.7,6.7,0.6,7.4,23,20,112,0.17,0.06,0.22,0.17,0.22,0.38,0.04,0.41,0.38,0.41
Drissa Camara,CIV,"MF,FW",Parma,Serie A,22,2002,21,1,447,5,0,0,0,0,0,0,3,0,1.2,1.2,0.8,2,18,27,35,0,0,0,0,0,0.25,0.16,0.4,0.25,0.4
Issiaga Camara,GUI,MF,Nice,Ligue 1,19,2005,4,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
Lamine Camara,SEN,MF,Monaco,Ligue 1,20,2004,29,25,2054,22.8,2,7,9,2,0,0,10,1,2.3,2.3,4.4,6.7,25,141,46,0.09,0.31,0.39,0.09,0.39,0.1,0.19,0.29,0.1,0.29
Mahdi Camara,FRA,"MF,FW",Brest,Ligue 1,26,1998,34,31,2659,29.5,5,3,8,5,0,0,5,0,4.1,4.1,2,6.2,58,111,112,0.17,0.1,0.27,0.17,0.27,0.14,0.07,0.21,0.14,0.21
Ousmane Camara,FRA,DF,Angers,Ligue 1,21,2003,3,3,252,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,3,0,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
Francesco Camarda,ITA,"FW,MF",Milan,Serie A,16,2008,10,1,206,2.3,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.1,2,1,16,0,0,0,0,0,0.25,0.23,0.48,0.25,0.48
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,21,2002,19,11,1102,12.2,1,2,3,1,0,0,2,0,0.4,0.4,0.8,1.2,26,61,31,0.08,0.16,0.25,0.08,0.25,0.04,0.06,0.1,0.04,0.1
Nicolò Cambiaghi,ITA,FW,Bologna,Serie A,23,2000,18,4,620,6.9,1,3,4,1,0,0,0,0,0.8,0.8,1.9,2.7,45,25,63,0.15,0.44,0.58,0.15,0.58,0.11,0.27,0.39,0.11,0.39
Andrea Cambiaso,ITA,"DF,FW",Juventus,Serie A,24,2000,33,25,2221,24.7,2,3,5,2,0,0,4,0,0.7,0.7,2.6,3.3,78,111,122,0.08,0.12,0.2,0.08,0.2,0.03,0.11,0.13,0.03,0.13
Axel Camblan,FRA,"MF,FW",Brest,Ligue 1,20,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0.17,0,0.17,0.17,0.17
Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,23,2001,23,14,1134,12.6,3,2,5,3,0,0,2,0,4.1,4.1,2,6.1,20,27,68,0.24,0.16,0.4,0.24,0.4,0.32,0.16,0.48,0.32,0.48
José Campaña,ESP,MF,Las Palmas,La Liga,31,1993,25,15,1189,13.2,0,3,3,0,0,0,5,0,0.1,0.1,0.9,1.1,11,87,15,0,0.23,0.23,0,0.23,0.01,0.07,0.08,0.01,0.08
Thomas Campaniello,ITA,FW,Empoli,Serie A,16,2008,3,0,25,0.3,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,6,0,0,0,0,0,1.83,0,1.83,1.83,1.83
Cole Campbell,USA,"MF,FW",Dortmund,Bundesliga,18,2006,4,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Emre Can,GER,"DF,MF",Dortmund,Bundesliga,30,1994,31,23,2105,23.4,3,0,3,1,2,2,4,1,2,0.4,0.7,1.1,20,116,12,0.13,0,0.13,0.04,0.04,0.08,0.03,0.11,0.02,0.05
Peio Canales,ESP,"MF,FW",Athletic Club,La Liga,19,2005,8,2,259,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,6,11,0,0,0,0,0,0.07,0.08,0.15,0.07,0.15
Matteo Cancellieri,ITA,"FW,MF",Parma,Serie A,22,2002,27,19,1424,15.8,3,0,3,3,0,0,2,1,2.7,2.7,0.7,3.4,40,24,79,0.19,0,0.19,0.19,0.19,0.17,0.04,0.21,0.17,0.21
Fali Candé,GNB,DF,Venezia,Serie A,26,1998,17,17,1530,17,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,5,47,3,0.06,0.06,0.12,0.06,0.12,0.07,0.03,0.1,0.07,0.1
Antonio Candela,ITA,DF,Venezia,Serie A,24,2000,14,12,1008,11.2,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.2,12,27,25,0,0.09,0.09,0,0.09,0.03,0.07,0.11,0.03,0.11
Antonio Candela,ITA,DF,Valladolid,La Liga,24,2000,12,12,906,10.1,0,0,0,0,0,0,1,0,0,0,0.8,0.9,16,22,29,0,0,0,0,0,0,0.08,0.08,0,0.08
Sergi Canós,ESP,"MF,FW",Valencia,La Liga,27,1997,17,2,370,4.1,0,1,1,0,0,0,3,0,0.5,0.5,0.2,0.7,7,9,47,0,0.24,0.24,0,0.24,0.13,0.05,0.17,0.13,0.17
Jaydee Canvot,FRA,"DF,MF",Toulouse,Ligue 1,18,2006,18,12,1106,12.3,0,0,0,0,0,0,2,0,0.2,0.2,0.7,0.9,9,41,0,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08
Pierrick Capelle,FRA,MF,Angers,Ligue 1,37,1987,16,3,483,5.4,0,0,0,0,0,0,4,0,0.2,0.2,1.2,1.4,10,22,17,0,0,0,0,0,0.04,0.22,0.26,0.04,0.26
Gianluca Caprari,ITA,"MF,FW",Monza,Serie A,31,1993,34,18,1651,18.3,3,2,5,1,2,2,3,0,4.2,2.6,2.4,5,43,81,104,0.16,0.11,0.27,0.05,0.16,0.23,0.13,0.36,0.14,0.27
Elia Caprile,ITA,GK,Cagliari,Serie A,22,2001,18,18,1620,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elia Caprile,ITA,GK,Napoli,Serie A,22,2001,4,3,325,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabin Capuano,FRA,FW,Lens,Ligue 1,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Francesco Caputo,ITA,FW,Empoli,Serie A,36,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maxence Caqueret,FRA,MF,Como,Serie A,24,2000,18,15,1087,12.1,2,3,5,2,0,0,4,0,0.8,0.8,1.5,2.4,15,76,46,0.17,0.25,0.41,0.17,0.41,0.07,0.13,0.2,0.07,0.2
Maxence Caqueret,FRA,MF,Lyon,Ligue 1,24,2000,9,6,573,6.4,0,0,0,0,0,0,1,0,0.7,0.7,0.4,1.1,14,50,15,0,0,0,0,0,0.1,0.07,0.17,0.1,0.17
Simon Cara,FRA,"MF,FW",Montpellier,Ligue 1,19,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Andrea Carboni,ITA,DF,Monza,Serie A,23,2001,26,25,2191,24.3,0,1,1,0,0,0,5,0,0.3,0.3,0.3,0.6,9,51,32,0,0.04,0.04,0,0.04,0.01,0.01,0.03,0.01,0.03
Franco Carboni,ITA,DF,Venezia,Serie A,21,2003,8,3,226,2.5,0,0,0,0,0,0,2,0,0,0,0.1,0.1,2,6,11,0,0,0,0,0,0,0.03,0.04,0,0.04
Valentin Carboni,ARG,"MF,FW",Marseille,Ligue 1,19,2005,4,1,103,1.1,0,0,0,0,0,0,1,0,0,0,0.1,0.2,4,4,8,0,0,0,0,0,0.04,0.1,0.14,0.04,0.14
Dani Cárdenas,ESP,GK,Rayo Vallecano,La Liga,27,1997,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irvin Cardona,FRA,"FW,MF",Espanyol,La Liga,26,1997,16,5,606,6.7,1,1,2,1,0,0,1,0,1.1,1.1,0.6,1.7,14,15,43,0.15,0.15,0.3,0.15,0.3,0.16,0.09,0.25,0.16,0.25
Irvin Cardona,FRA,FW,Saint-Étienne,Ligue 1,26,1997,15,13,1063,11.8,5,3,8,5,0,1,2,0,4.5,3.7,1.4,5,30,32,135,0.42,0.25,0.68,0.42,0.68,0.41,0.13,0.54,0.34,0.47
Marc Cardona,ESP,"FW,DF",Las Palmas,La Liga,29,1995,11,0,132,1.5,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,2,3,12,0,0,0,0,0,0.26,0,0.26,0.26,0.26
Sergi Cardona,ESP,DF,Villarreal,La Liga,25,1999,35,34,2945,32.7,1,7,8,1,0,0,11,0,2.4,2.4,5.8,8.2,52,77,198,0.03,0.21,0.24,0.03,0.24,0.07,0.18,0.25,0.07,0.25
Johnny Cardoso,USA,MF,Betis,La Liga,22,2001,28,24,2144,23.8,3,1,4,3,0,0,4,0,2,2,0.9,3,19,71,28,0.13,0.04,0.17,0.13,0.17,0.09,0.04,0.12,0.09,0.12
Tiago Cardoso,LUX,GK,Gladbach,Bundesliga,18,2006,5,4,380,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrik Carlgren,SWE,GK,Nantes,Ligue 1,32,1992,5,4,417,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,BRA,DF,Aston Villa,Premier League,31,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,3,34,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07
José Carlos González,ESP,DF,Las Palmas,La Liga,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Carmona,ESP,DF,Sevilla,La Liga,22,2002,35,35,2942,32.7,0,0,0,0,0,0,11,0,0.5,0.5,2,2.5,45,109,57,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08
Marco Carnesecchi,ITA,GK,Atalanta,Serie A,24,2000,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Sergio Carreira,ESP,"MF,DF",Celta Vigo,La Liga,23,2000,23,19,1656,18.4,0,4,4,0,0,0,1,0,0.6,0.6,3.1,3.7,39,53,140,0,0.22,0.22,0,0.22,0.03,0.17,0.2,0.03,0.2
Dani Carvajal,ESP,DF,Real Madrid,La Liga,32,1992,8,7,609,6.8,1,0,1,1,0,0,1,0,1.3,1.3,0.2,1.5,13,27,48,0.15,0,0.15,0.15,0.15,0.19,0.03,0.22,0.19,0.22
Fabio Carvalho,POR,"FW,MF",Brentford,Premier League,21,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.4,0.2,0.59,0.4,0.59,0.49,0.13,0.62,0.49,0.62
William Carvalho,POR,MF,Betis,La Liga,32,1992,14,6,484,5.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.5,5,45,10,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09
Cesare Casadei,ITA,MF,Torino,Serie A,21,2003,15,13,1017,11.3,1,1,2,1,0,0,1,0,1.2,1.2,0.4,1.5,14,36,12,0.09,0.09,0.18,0.09,0.18,0.1,0.03,0.14,0.1,0.14
Marc Casado,ESP,MF,Barcelona,La Liga,20,2003,23,20,1611,17.9,1,3,4,1,0,0,4,1,1.1,1.1,1.4,2.4,12,107,24,0.06,0.17,0.22,0.06,0.22,0.06,0.08,0.13,0.06,0.13
Nicolò Casale,ITA,DF,Bologna,Serie A,26,1998,15,9,900,10,0,1,1,0,0,0,1,0,0.5,0.5,0.5,0.9,3,29,2,0,0.1,0.1,0,0.1,0.05,0.05,0.09,0.05,0.09
Nicolò Casale,ITA,DF,Lazio,Serie A,26,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Casemiro,BRA,MF,Manchester Utd,Premier League,32,1992,24,18,1494,16.6,1,0,1,1,0,0,5,0,1.9,1.9,2.3,4.2,4,84,28,0.06,0,0.06,0.06,0.06,0.11,0.14,0.25,0.11,0.25
Kaelan Casey,ENG,DF,West Ham,Premier League,19,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matty Cash,POL,DF,Aston Villa,Premier League,26,1997,27,24,2070,23,1,1,2,1,0,0,7,0,0.5,0.5,1.1,1.6,48,42,90,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07
Eiran Cashin,IRL,DF,Brighton,Premier League,22,2001,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
Josué Casimir,FRA,"FW,MF",Le Havre,Ligue 1,22,2001,27,23,1997,22.2,4,4,8,4,0,0,5,0,3.3,3.3,3.4,6.7,71,41,151,0.18,0.18,0.36,0.18,0.36,0.15,0.15,0.3,0.15,0.3
Federico Cassa,ITA,"MF,FW",Atalanta,Serie A,18,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
Cristian Cásseres Jr.,VEN,MF,Toulouse,Ligue 1,24,2000,32,31,2696,30,1,3,4,1,0,0,11,0,1,1,2.6,3.6,31,128,46,0.03,0.1,0.13,0.03,0.13,0.03,0.09,0.12,0.03,0.12
Timothy Castagne,BEL,DF,Fulham,Premier League,28,1995,24,17,1649,18.3,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,62,67,0,0.05,0.05,0,0.05,0.02,0.07,0.09,0.02,0.09
Valentín Castellanos,ARG,FW,Lazio,Serie A,25,1998,29,28,2384,26.5,10,3,13,8,2,3,9,1,13.4,11.3,3.6,14.9,27,66,149,0.38,0.11,0.49,0.3,0.42,0.51,0.14,0.64,0.43,0.56
