player,nation,position,squad,competition,age,born,90s,goals,shots_total,shots_ontarget,shots_ontarget%,shots_total_per90,shots_ontarget_per90,goals_pershot,goals_pershot_ontarget,avg_shotdistance,shots_fromfk,pk_made,pk_attempted,xg,npxg,npxg_pershot,goals-xg,npg-npxg
Sepp van den Berg,NED,DF,Brentford,Premier League,22,2001,28.7,0,20,6,30,0.7,0.21,0,0,10.5,0,0,0,2,2,0.1,-2,-2
Rémy Descamps,FRA,GK,Lyon,Ligue 1,28,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Arthur Desmas,FRA,GK,Le Havre,Ligue 1,30,1994,18,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Justin Devenny,NIR,MF,Crystal Palace,Premier League,20,2003,5.6,1,10,6,60,1.78,1.07,0.1,0.17,21.1,1,0,0,0.8,0.8,0.08,0.2,0.2
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,Premier League,25,1998,2.9,0,1,0,0,0.34,0,0,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2
Michele Di Gregorio,ITA,GK,Juventus,Serie A,27,1997,33,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,30,1993,37,3,21,6,28.6,0.57,0.16,0.14,0.5,11.4,0,0,0,2.8,2.8,0.15,0.2,0.2
Boulaye Dia,SEN,"MF,FW",Lazio,Serie A,27,1996,24.2,9,39,19,48.7,1.61,0.79,0.23,0.47,13.3,0,0,0,7.1,7.1,0.18,1.9,1.9
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,27,1996,7.3,2,11,4,36.4,1.52,0.55,0.18,0.5,9,0,0,0,1.5,1.5,0.13,0.5,0.5
Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,18,2005,9.5,2,18,8,44.4,1.89,0.84,0.11,0.25,19.2,2,0,0,1,1,0.06,1,1
Bafodé Diakité,FRA,DF,Lille,Ligue 1,23,2001,30.7,4,16,7,43.8,0.52,0.23,0.25,0.57,8.3,0,0,0,2.3,2.3,0.15,1.7,1.7
Oumar Diakité,CIV,FW,Reims,Ligue 1,20,2003,18.1,4,26,9,34.6,1.44,0.5,0.15,0.44,12.1,0,0,1,5.5,4.7,0.18,-1.5,-0.7
Amad Diallo,CIV,"MF,FW",Manchester Utd,Premier League,22,2002,21.1,8,47,17,36.2,2.23,0.8,0.17,0.47,17.5,0,0,0,4.7,4.7,0.1,3.3,3.3
Assane Diao,SEN,"FW,MF",Como,Serie A,18,2005,13.9,8,28,13,46.4,2.01,0.93,0.29,0.62,15.5,0,0,0,4,4,0.14,4,4
Assane Diao,SEN,FW,Betis,La Liga,18,2005,3.1,1,7,1,14.3,2.27,0.32,0.14,1,14.4,0,0,0,0.8,0.8,0.11,0.2,0.2
Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,20,2004,26.1,4,25,10,40,0.96,0.38,0.08,0.2,20.2,1,2,2,3.3,1.8,0.07,0.7,0.2
Moussa Diarra,MLI,DF,Alavés,La Liga,23,2000,20.7,0,1,0,0,0.05,0,0,,25.8,0,0,0,0,0,0.03,0,0
Rúben Dias,POR,DF,Manchester City,Premier League,27,1997,25.2,0,21,7,33.3,0.83,0.28,0,0,19.4,0,0,0,1.5,1.5,0.07,-1.5,-1.5
Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,25,1999,5.6,0,2,1,50,0.35,0.18,0,0,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Kandet Diawara,GUI,FW,Le Havre,Ligue 1,24,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Mahamadou Diawara,FRA,MF,Le Havre,Ligue 1,19,2005,6.5,0,7,1,14.3,1.08,0.15,0,0,20.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Mahamadou Diawara,FRA,MF,Lyon,Ligue 1,19,2005,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,24,1999,15.4,4,28,15,53.6,1.82,0.97,0.14,0.27,12.6,0,0,0,5.3,5.3,0.19,-1.3,-1.3
Daniel Díaz,ESP,MF,Real Sociedad,La Liga,18,2006,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Luis Díaz,COL,FW,Liverpool,Premier League,27,1997,26.7,13,71,30,42.3,2.66,1.13,0.18,0.43,13.4,0,0,0,12,12,0.17,1,1
Pedro Díaz,ESP,MF,Rayo Vallecano,La Liga,26,1998,13.5,3,31,7,22.6,2.3,0.52,0.1,0.43,24.6,1,0,1,2.4,1.6,0.05,0.6,1.4
Tyler Dibling,ENG,"FW,MF",Southampton,Premier League,18,2006,20.8,2,28,9,32.1,1.34,0.43,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5
Diego,ESP,FW,Leganés,La Liga,24,2000,13.3,3,29,9,31,2.18,0.68,0.1,0.33,14.1,0,0,0,3.8,3.8,0.13,-0.8,-0.8
Justin Diehl,GER,"FW,DF",Stuttgart,Bundesliga,19,2004,1.2,1,7,1,14.3,6.06,0.87,0.14,1,15.8,0,0,0,1,1,0.14,0,0
Bamba Dieng,SEN,FW,Angers,Ligue 1,24,2000,5.9,3,13,6,46.2,2.2,1.02,0.15,0.33,18.5,2,1,1,3.1,2.3,0.18,-0.1,-0.3
Eric Dier,ENG,DF,Bayern Munich,Bundesliga,30,1994,16.3,2,9,5,55.6,0.55,0.31,0.22,0.4,6.3,0,0,0,1.1,1.1,0.12,0.9,0.9
Lucas Digne,FRA,DF,Aston Villa,Premier League,31,1993,26.1,0,13,3,23.1,0.5,0.11,0,0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8
Kembo Diliwidi,FRA,DF,Lens,Ligue 1,18,2006,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Federico Dimarco,ITA,"DF,FW",Inter,Serie A,26,1997,23.8,4,55,20,36.4,2.31,0.84,0.07,0.2,20.1,8,0,0,3.3,3.3,0.06,0.7,0.7
Stole Dimitrievski,MKD,GK,Valencia,La Liga,30,1993,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,Bundesliga,23,2000,3.3,0,8,0,0,2.46,0,0,,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9
Eren Dinkçi,GER,"MF,FW",Freiburg,Bundesliga,22,2001,13.3,0,14,3,21.4,1.05,0.23,0,0,19,0,0,0,1.1,1.1,0.08,-1.1,-1.1
Sinaly Diomande,CIV,DF,Auxerre,Ligue 1,23,2001,21.6,3,9,4,44.4,0.42,0.19,0.33,0.75,15,0,0,0,1.1,1.1,0.13,1.9,1.9
Yan Diomandé,CIV,"MF,FW",Leganés,La Liga,17,2006,6.1,2,11,3,27.3,1.82,0.5,0.18,0.67,17.3,0,0,0,1.4,1.4,0.13,0.6,0.6
Lois Diony,FRA,FW,Angers,Ligue 1,31,1992,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Issa Diop,FRA,DF,Fulham,Premier League,27,1997,14.9,0,5,2,40,0.34,0.13,0,0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Sérigné Diop,SEN,FW,Brest,Ligue 1,19,2005,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,24,2000,11.8,6,22,11,50,1.86,0.93,0.27,0.55,16.4,3,0,0,6,6,0.27,0,0
Andy Diouf,FRA,MF,Lens,Ligue 1,21,2003,24.7,1,40,5,12.5,1.62,0.2,0.03,0.2,20,0,0,0,2.9,2.9,0.07,-1.9,-1.9
Yehvann Diouf,SEN,GK,Reims,Ligue 1,24,1999,34,0,1,1,100,0.03,0.03,0,0,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Assane Dioussé,SEN,MF,Auxerre,Ligue 1,26,1997,7.4,0,3,2,66.7,0.41,0.27,0,0,27.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Axel Disasi,FRA,DF,Aston Villa,Premier League,26,1998,5.4,0,2,0,0,0.37,0,0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Axel Disasi,FRA,DF,Chelsea,Premier League,26,1998,4,1,2,1,50,0.49,0.25,0.5,1,12.3,0,0,0,0.3,0.3,0.14,0.7,0.7
Roman Dixon,ENG,DF,Everton,Premier League,19,2004,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Álvaro djaló,ESP,FW,Athletic Club,La Liga,24,1999,7.3,1,15,3,20,2.05,0.41,0.07,0.33,18.5,0,0,0,0.8,0.8,0.06,0.2,0.2
Djené,TOG,"DF,MF",Getafe,La Liga,32,1991,28.3,0,6,0,0,0.21,0,0,,17.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Nasser Djiga,BFA,DF,Wolves,Premier League,21,2002,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Berat Djimsiti,ALB,DF,Atalanta,Serie A,31,1993,29.3,1,20,4,20,0.68,0.14,0.05,0.25,9.7,0,0,0,2.7,2.7,0.13,-1.7,-1.7
Marko Dmitrović,SRB,GK,Leganés,La Liga,32,1992,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ritsu Doan,JPN,"FW,MF",Freiburg,Bundesliga,26,1998,31.8,10,61,21,34.4,1.92,0.66,0.16,0.48,16.7,1,0,0,6.6,6.6,0.12,3.4,3.4
Dodô,BRA,DF,Fiorentina,Serie A,25,1998,33.6,0,25,5,20,0.74,0.15,0,0,17.9,0,0,0,1.4,1.4,0.05,-1.4,-1.4
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,26,1998,34,1,32,4,12.5,0.94,0.12,0.03,0.25,10.5,0,0,0,2.6,2.6,0.08,-1.6,-1.6
Matt Doherty,IRL,DF,Wolves,Premier League,32,1992,23.4,2,10,3,30,0.43,0.13,0.2,0.67,11.4,0,0,0,1,1,0.1,1,1
Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,22,2002,16.8,3,29,9,31,1.72,0.53,0.1,0.33,17.7,0,0,0,1.3,1.3,0.05,1.7,1.7
Marc Domenech,ESP,"FW,MF",Mallorca,La Liga,18,2006,3.4,0,8,2,25,2.38,0.59,0,0,15.2,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Álex Domínguez,ESP,GK,Toulouse,Ligue 1,26,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Benjamín Domínguez,ARG,FW,Bologna,Serie A,20,2003,14.2,3,30,17,56.7,2.11,1.19,0.1,0.18,19.2,0,0,0,2.2,2.2,0.07,0.8,0.8
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,23,2001,13.1,0,3,1,33.3,0.23,0.08,0,0,8.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Israel Domínguez,ESP,FW,Sevilla,La Liga,21,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,26,1998,21.8,0,21,9,42.9,0.96,0.41,0,0,18.9,0,0,0,1.5,1.5,0.07,-1.5,-1.5
Sergi Dominguez,ESP,DF,Barcelona,La Liga,19,2005,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,25,1999,23.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Patrick Dorgu,DEN,DF,Manchester Utd,Premier League,19,2004,9.4,0,10,2,20,1.07,0.21,0,0,16.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Patrick Dorgu,DEN,"DF,FW",Lecce,Serie A,19,2004,20.4,3,36,10,27.8,1.76,0.49,0.08,0.3,19,0,0,0,3.3,3.3,0.09,-0.3,-0.3
Alfie Dorrington,ENG,DF,Tottenham,Premier League,19,2005,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,26,1998,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Niklas Dorsch,GER,MF,Heidenheim,Bundesliga,26,1998,14.8,2,9,3,33.3,0.61,0.2,0.22,0.67,23,2,0,0,1,1,0.11,1,1
Alberto Dossena,ITA,DF,Como,Serie A,25,1998,20.3,0,12,3,25,0.59,0.15,0,0,11.3,0,0,0,0.8,0.8,0.07,-0.8,-0.8
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,31,1993,28.5,3,31,9,29,1.09,0.32,0.1,0.33,14,0,0,0,4.1,4.1,0.13,-1.1,-1.1
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,24,2000,5,0,7,0,0,1.39,0,0,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Sékou Doucoure,FRA,DF,Nantes,Ligue 1,19,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Désiré Doué,FRA,"FW,MF",Paris S-G,Ligue 1,19,2005,19.2,6,55,20,36.4,2.86,1.04,0.11,0.3,17.9,0,0,0,5.1,5.1,0.09,0.9,0.9
Guela Doué,CIV,DF,Strasbourg,Ligue 1,21,2002,30.2,1,18,6,33.3,0.6,0.2,0.06,0.17,14.4,0,0,0,0.8,0.8,0.05,0.2,0.2
Douglas,BRA,MF,Nantes,Ligue 1,27,1997,25.6,4,36,14,38.9,1.4,0.55,0.11,0.29,17.2,0,0,0,3.4,3.4,0.1,0.6,0.6
Ismaël Doukouré,FRA,"DF,MF",Strasbourg,Ligue 1,21,2003,29.3,1,3,1,33.3,0.1,0.03,0.33,1,13.4,0,0,0,0.6,0.6,0.19,0.4,0.4
Issa Doumbia,ITA,MF,Venezia,Serie A,20,2003,10.4,0,16,5,31.3,1.53,0.48,0,0,16.7,0,0,0,1,1,0.06,-1,-1
Kamory Doumbia,MLI,"MF,FW",Brest,Ligue 1,21,2003,14.7,3,22,10,45.5,1.5,0.68,0.14,0.3,16.7,1,0,0,2.7,2.7,0.13,0.3,0.3
Amidou Doumbouya,FRA,DF,Nice,Ligue 1,16,2007,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Anastasios Douvikas,GRE,FW,Como,Serie A,24,1999,6.4,2,14,5,35.7,2.17,0.78,0.14,0.4,12.4,0,0,0,2.5,2.5,0.18,-0.5,-0.5
Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,24,1999,7.8,3,17,9,52.9,2.19,1.16,0.18,0.33,11.1,0,0,0,4.4,4.4,0.26,-1.4,-1.4
Artem Dovbyk,UKR,FW,Roma,Serie A,27,1997,26.9,12,61,25,41,2.27,0.93,0.16,0.4,13.7,0,2,2,11.9,10.3,0.17,0.1,-0.3
Flynn Downes,ENG,MF,Southampton,Premier League,25,1999,23.9,1,10,3,30,0.42,0.13,0.1,0.33,18.7,0,0,0,0.6,0.6,0.06,0.4,0.4
Tommy Doyle,ENG,MF,Wolves,Premier League,22,2001,5.4,0,9,2,22.2,1.66,0.37,0,0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6
Radu Drăgușin,ROU,DF,Tottenham,Premier League,22,2002,13.9,0,5,1,20,0.36,0.07,0,0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Patrick Drewes,GER,GK,Bochum,Bundesliga,31,1993,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Tim Drexler,GER,DF,Hoffenheim,Bundesliga,19,2005,4,0,2,2,100,0.5,0.5,0,0,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Domingos Duarte,POR,DF,Getafe,La Liga,29,1995,20.7,1,3,1,33.3,0.15,0.05,0.33,1,13,0,0,0,0.2,0.2,0.07,0.8,0.8
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,35,1989,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,30,1994,26.9,8,70,27,38.6,2.61,1,0.1,0.26,17.3,8,1,2,10.1,8.5,0.12,-2.1,-1.5
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,29,1994,26.6,1,25,5,20,0.94,0.19,0.04,0.2,27.1,5,0,0,1,1,0.04,0,0
Duk,CPV,"MF,FW",Leganés,La Liga,24,2000,2,0,2,1,50,1.01,0.5,0,0,30.3,0,0,0,0,0,0.01,0,0
Denzel Dumfries,NED,"DF,FW",Inter,Serie A,28,1996,20.7,7,36,19,52.8,1.74,0.92,0.19,0.37,10.5,0,0,0,5.4,5.4,0.15,1.6,1.6
Alfred Duncan,GHA,MF,Venezia,Serie A,31,1993,10.6,0,15,4,26.7,1.41,0.38,0,0,25.6,0,0,0,0.8,0.8,0.05,-0.8,-0.8
Lewis Dunk,ENG,DF,Brighton,Premier League,32,1991,23.1,0,12,3,25,0.52,0.13,0,0,12.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8
Jáder Durán,COL,FW,Aston Villa,Premier League,20,2003,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1
Pablo Durán,ESP,"FW,MF",Celta Vigo,La Liga,23,2001,15.5,4,26,9,34.6,1.68,0.58,0.15,0.44,14.8,0,0,0,3.6,3.6,0.14,0.4,0.4
Julien Duranville,BEL,"FW,MF",Dortmund,Bundesliga,18,2006,3.1,0,5,2,40,1.59,0.64,0,0,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Hugo Duro,ESP,FW,Valencia,La Liga,24,1999,24.1,11,48,16,33.3,1.99,0.66,0.21,0.63,11.1,1,1,1,9.4,8.6,0.18,1.6,1.4
Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,27,1997,6,0,4,0,0,0.67,0,0,,17,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Paulo Dybala,ARG,"FW,MF",Roma,Serie A,30,1993,15.7,6,47,15,31.9,2.99,0.95,0.06,0.2,21.1,6,3,3,6.4,4,0.09,-0.4,-1
Stefan Džodić,SRB,"DF,MF",Montpellier,Ligue 1,19,2005,2.7,0,3,0,0,1.12,0,0,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Adam Dźwigała,POL,"DF,MF",St. Pauli,Bundesliga,28,1995,4.1,0,6,0,0,1.45,0,0,,14.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Aron Dønnum,NOR,"DF,MF",Toulouse,Ligue 1,26,1998,29.9,2,31,5,16.1,1.04,0.17,0.06,0.4,19.7,0,0,0,2.1,2.1,0.07,-0.1,-0.1
Enzo Ebosse,CMR,DF,Udinese,Serie A,25,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Tyronne Ebuehi,NGA,"DF,MF",Empoli,Serie A,28,1995,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Claudio Echeverri,ARG,FW,Manchester City,Premier League,18,2006,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ederson,BRA,GK,Manchester City,Premier League,30,1993,25.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Éderson,BRA,MF,Atalanta,Serie A,25,1999,32,4,39,12,30.8,1.22,0.37,0.1,0.33,17.5,0,0,0,4.1,4.1,0.1,-0.1,-0.1
Noah Edjouma,FRA,"MF,FW",Toulouse,Ligue 1,18,2005,1.9,2,5,3,60,2.63,1.58,0.4,0.67,10.2,0,0,0,1.3,1.3,0.26,0.7,0.7
George Edmundson,ENG,DF,Ipswich Town,Premier League,26,1997,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Odsonne Édouard,FRA,"MF,FW",Crystal Palace,Premier League,26,1998,1.3,0,5,1,20,3.91,0.78,0,0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Odsonne Édouard,FRA,FW,Leicester City,Premier League,26,1998,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Samuel Edozie,ENG,"DF,FW",Southampton,Premier League,21,2003,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ronnie Edwards,ENG,DF,Southampton,Premier League,21,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Johannes Eggestein,GER,FW,St. Pauli,Bundesliga,26,1998,20.6,3,34,10,29.4,1.65,0.49,0.06,0.2,15.7,0,1,2,4.7,3.1,0.09,-1.7,-1.1
Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,27,1996,31.6,2,36,10,27.8,1.14,0.32,0.06,0.2,19.4,0,0,0,2,2,0.05,0,0
Kingsley Ehizibue,NED,DF,Udinese,Serie A,29,1995,27.8,0,14,4,28.6,0.5,0.14,0,0,15.9,0,0,0,1.2,1.2,0.09,-1.2,-1.2
Chidera Ejuke,NGA,FW,Sevilla,La Liga,26,1998,10.7,2,20,8,40,1.86,0.75,0.1,0.25,18.3,0,0,0,1.1,1.1,0.05,0.9,0.9
Jeff Ekhator,ITA,"FW,MF",Genoa,Serie A,17,2006,8.5,1,10,3,30,1.17,0.35,0.1,0.33,15.6,0,0,0,1.3,1.3,0.13,-0.3,-0.3
Hugo Ekitike,FRA,FW,Eint Frankfurt,Bundesliga,22,2002,28.5,15,114,44,38.6,4,1.55,0.12,0.32,15.3,1,1,3,21.6,19.3,0.17,-6.6,-5.3
Jurgen Ekkelenkamp,NED,MF,Udinese,Serie A,24,2000,21,3,27,9,33.3,1.28,0.43,0.11,0.33,18.3,0,0,0,2.8,2.8,0.1,0.2,0.2
Jacques Ekomie,GAB,"DF,FW",Angers,Ligue 1,20,2003,7.7,0,1,0,0,0.13,0,0,,15.3,0,0,0,0,0,0.02,0,0
Emmanuel Ekong,SWE,"MF,FW",Empoli,Serie A,22,2002,2.1,0,4,1,25,1.94,0.48,0,0,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Caleb Ekuban,GHA,FW,Genoa,Serie A,30,1994,6.2,1,18,6,33.3,2.92,0.97,0.06,0.17,13,0,0,0,2.8,2.8,0.15,-1.8,-1.8
Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,Ligue 1,22,2002,28.6,1,25,6,24,0.87,0.21,0.04,0.17,25.4,0,0,0,0.7,0.7,0.03,0.3,0.3
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,Premier League,22,2002,27.8,6,44,24,54.5,1.58,0.86,0.14,0.25,17.6,6,0,0,4.5,4.5,0.1,1.5,1.5
Meschak Elia,COD,FW,Nantes,Ligue 1,26,1997,1.9,1,5,1,20,2.65,0.53,0.2,1,16,0,0,0,1.1,1.1,0.22,-0.1,-0.1
Mikael Ellertsson,ISL,"DF,MF",Venezia,Serie A,22,2002,27.4,2,21,4,19,0.77,0.15,0.1,0.5,18.1,0,0,0,1.1,1.1,0.05,0.9,0.9
Harvey Elliott,ENG,MF,Liverpool,Premier League,21,2003,4.1,1,17,4,23.5,4.12,0.97,0.06,0.25,16.9,1,0,0,1.8,1.8,0.1,-0.8,-0.8
Elif Elmas,MKD,"FW,MF",Torino,Serie A,24,1999,11.3,4,19,9,47.4,1.67,0.79,0.21,0.44,19.3,0,0,0,1.4,1.4,0.07,2.6,2.6
Elif Elmas,MKD,MF,RB Leipzig,Bundesliga,24,1999,0.5,0,2,0,0,4.09,0,0,,10.9,0,0,0,0.3,0.3,0.17,-0.3,-0.3
Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,30,1994,16.2,0,4,0,0,0.25,0,0,,8.2,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Nico Elvedi,SUI,DF,Gladbach,Bundesliga,27,1996,23.7,1,12,3,25,0.51,0.13,0.08,0.33,8.3,0,0,0,2,2,0.18,-1,-1
Adri Embarba,ESP,"FW,MF",Rayo Vallecano,La Liga,32,1992,17.9,1,37,12,32.4,2.07,0.67,0.03,0.08,22.1,2,0,0,2.1,2.1,0.06,-1.1,-1.1
Breel Embolo,SUI,"FW,MF",Monaco,Ligue 1,27,1997,20.5,6,51,18,35.3,2.49,0.88,0.12,0.33,10.8,0,0,0,10.8,10.8,0.21,-4.8,-4.8
Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,21,2003,25.5,14,61,35,57.4,2.39,1.37,0.23,0.4,12.5,0,0,0,17,17,0.28,-3,-3
Emerson,BRA,DF,Milan,Serie A,25,1999,15.3,0,10,2,20,0.65,0.13,0,0,20.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Yunus Emre Konak,TUR,"FW,MF",Brentford,Premier League,18,2006,0.5,0,1,0,0,2.14,0,0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2
Julio Enciso,PAR,"MF,FW",Ipswich Town,Premier League,20,2004,9.7,2,32,11,34.4,3.31,1.14,0.06,0.18,23,1,0,0,1.7,1.7,0.05,0.3,0.3
Julio Enciso,PAR,"MF,FW",Brighton,Premier League,20,2004,3.3,0,20,11,55,6.12,3.37,0,0,21.3,1,0,0,1,1,0.05,-1,-1
Wataru Endo,JPN,"MF,DF",Liverpool,Premier League,31,1993,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Endrick,BRA,FW,Real Madrid,La Liga,18,2006,4,1,24,6,25,5.95,1.49,0.04,0.17,16.4,0,0,0,2.5,2.5,0.1,-1.5,-1.5
Yannik Engelhardt,GER,"MF,DF",Como,Serie A,23,2001,12.9,1,8,2,25,0.62,0.15,0.13,0.5,13.7,0,0,0,0.6,0.6,0.07,0.4,0.4
Arne Engels,BEL,"MF,FW",Augsburg,Bundesliga,20,2003,0.9,0,3,1,33.3,3.42,1.14,0,0,13.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4
Christian Eriksen,DEN,MF,Manchester Utd,Premier League,32,1992,11.8,1,14,1,7.1,1.19,0.08,0,0,25.8,3,1,1,1.4,0.6,0.04,-0.4,-0.6
Martin Erlic,CRO,DF,Bologna,Serie A,26,1998,3.7,0,6,0,0,1.62,0,0,,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Patrick Erras,GER,DF,Holstein Kiel,Bundesliga,29,1995,9.2,1,8,1,12.5,0.87,0.11,0.13,1,10,0,0,0,0.9,0.9,0.11,0.1,0.1
Alfonso Espino,URU,DF,Rayo Vallecano,La Liga,32,1992,9.3,0,10,2,20,1.08,0.22,0,0,25.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Sebastiano Esposito,ITA,"FW,MF",Empoli,Serie A,22,2002,25.9,8,59,19,32.2,2.28,0.73,0.12,0.37,19.8,10,1,2,5.7,4.2,0.07,2.3,2.8
Romain Esse,ENG,MF,Crystal Palace,Premier League,19,2005,1.5,1,1,1,100,0.65,0.65,1,1,2.8,0,0,0,0.3,0.3,0.32,0.7,0.7
Samuel Essende,COD,FW,Augsburg,Bundesliga,26,1998,18.2,7,44,13,29.5,2.42,0.72,0.16,0.54,13.9,0,0,0,4.2,4.2,0.1,2.8,2.8
Dario Essugo,POR,MF,Las Palmas,La Liga,19,2005,21.5,1,23,4,17.4,1.07,0.19,0.04,0.25,25.5,0,0,0,0.7,0.7,0.03,0.3,0.3
Estanis,ESP,FW,Bologna,Serie A,20,2003,0.1,0,2,0,0,20,0,0,,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Nahuel Estévez,ARG,MF,Parma,Serie A,28,1995,7.3,0,5,1,20,0.68,0.14,0,0,25.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Pervis Estupiñán,ECU,DF,Brighton,Premier League,26,1998,26.7,1,28,9,32.1,1.05,0.34,0.04,0.11,24.5,3,0,0,1.2,1.2,0.04,-0.2,-0.2
Etienne Eto'o,CMR,FW,Rayo Vallecano,La Liga,21,2002,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
