player,nation,position,squad,competition,age,born,90s,goals,shots_total,shots_ontarget,shots_ontarget%,shots_total_per90,shots_ontarget_per90,goals_pershot,goals_pershot_ontarget,avg_shotdistance,shots_fromfk,pk_made,pk_attempted,xg,npxg,npxg_pershot,goals-xg,npg-npxg
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,3,38,13,34.2,2.09,0.71,0.08,0.23,20.4,0,0,0,3.1,3.1,0.08,-0.1,-0.1
Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27,1997,15.7,1,7,2,28.6,0.45,0.13,0.14,0.5,27.6,1,0,0,0.8,0.8,0.12,0.2,0.2
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27,1997,14,0,15,3,20,1.07,0.21,0,0,28.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,18,2005,0.1,0,1,0,0,15,0,0,,26.3,0,0,0,0,0,0.02,0,0
Jeremy Agbonifo,SWE,"FW,MF",Lens,Ligue 1,18,2005,3.3,1,6,4,66.7,1.8,1.2,0.17,0.25,14.1,0,0,0,0.7,0.7,0.11,0.3,0.3
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23,2000,13.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Lucien Agoume,FRA,MF,Sevilla,La Liga,22,2002,23.5,1,10,2,20,0.43,0.09,0.1,0.5,15,0,0,0,0.9,0.9,0.09,0.1,0.1
Felix Agu,NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,3,9,4,44.4,0.46,0.21,0.33,0.75,13.3,0,0,0,1.4,1.4,0.15,1.6,1.6
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28,1996,4.9,0,10,1,10,2.03,0.2,0,0,23,1,0,0,0.6,0.6,0.06,-0.6,-0.6
Lorenzo Aguado,ESP,DF,Real Madrid,La Liga,21,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28,1996,19.6,0,15,5,33.3,0.77,0.26,0,0,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4
Ruben Aguilar,FRA,"DF,MF",Lens,Ligue 1,31,1993,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,16,0,0,0,0.8,0.8,0.07,0.2,0.2
Naouirou Ahamada,FRA,"MF,FW",Rennes,Ligue 1,22,2002,0.6,0,1,0,0,1.55,0,0,,28.2,0,0,0,0,0,0.02,0,0
Honest Ahanor,ITA,"DF,MF",Genoa,Serie A,16,2008,3,0,3,1,33.3,1,0.33,0,0,10.5,0,0,0,0.5,0.5,0.17,-0.5,-0.5
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30,1994,21.8,2,27,7,25.9,1.24,0.32,0.07,0.29,18.2,0,0,0,1.8,1.8,0.07,0.2,0.2
Joseph Aidoo,GHA,DF,Valladolid,La Liga,28,1995,6.5,0,1,0,0,0.15,0,0,,10.3,0,0,0,0,0,0.04,0,0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,28,1995,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19,2005,1.4,0,3,1,33.3,2.13,0.71,0,0,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,2,11,2,18.2,0.33,0.06,0.18,1,26.1,0,0,0,0.6,0.6,0.06,1.4,1.4
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23,2001,34.5,4,36,10,27.8,1.04,0.29,0.11,0.4,14.9,0,0,0,2.7,2.7,0.08,1.3,1.3
Junior Ajayi,CIV,FW,Hellas Verona,Serie A,19,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26,1998,16,0,9,3,33.3,0.56,0.19,0,0,9.5,0,0,0,1,1,0.11,-1,-1
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30,1994,27.7,13,53,25,47.2,1.91,0.9,0.25,0.52,12.1,0,0,1,10.4,9.6,0.18,2.6,3.4
Manuel Akanji,SUI,DF,Manchester City,Premier League,29,1995,22.4,0,15,2,13.3,0.67,0.09,0,0,14.7,0,0,0,1.6,1.6,0.1,-1.6,-1.6
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,20,2003,5.6,0,2,0,0,0.36,0,0,,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Nathan Aké,NED,DF,Manchester City,Premier League,29,1995,7.5,0,3,0,0,0.4,0,0,,10,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20,2004,6.5,1,17,6,35.3,2.62,0.92,0.06,0.17,23.3,0,0,0,0.6,0.6,0.03,0.4,0.4
Sergio Akieme,ESP,DF,Reims,Ligue 1,26,1997,28,2,26,7,26.9,0.93,0.25,0.08,0.29,20.1,1,0,0,1.5,1.5,0.06,0.5,0.5
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22,2002,26.7,5,61,17,27.9,2.28,0.64,0.07,0.24,16,2,1,1,9.2,8.4,0.14,-4.2,-4.4
Paul Akouokou,CIV,MF,Lyon,Ligue 1,26,1997,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22,2001,27.6,0,6,1,16.7,0.22,0.04,0,0,15.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,31,1992,10.7,0,4,2,50,0.37,0.19,0,0,18,0,0,0,0.3,0.3,0.08,-0.3,-0.3
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22,2002,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,0,5,1,20,0.2,0.04,0,0,31,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Chuba Akpom,ENG,FW,Lille,Ligue 1,28,1995,7.1,3,18,9,50,2.54,1.27,0.11,0.22,13.2,0,1,2,5,3.4,0.19,-2,-1.4
David Alaba,AUT,DF,Real Madrid,La Liga,32,1992,3.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ibrahim Alani,NGA,MF,Valladolid,La Liga,18,2006,1.8,0,1,0,0,0.56,0,0,,30.2,0,0,0,0,0,0.02,0,0
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,1,3,1,33.3,4.35,1.45,0.33,1,11.9,0,0,0,0.6,0.6,0.2,0.4,0.4
Raúl Albiol,ESP,DF,Villarreal,La Liga,38,1985,13.2,0,2,0,0,0.15,0,0,,9.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21,2002,0.1,0,1,1,100,9,9,0,0,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Carlos Alcaraz,ARG,"FW,MF",Everton,Premier League,21,2002,8.5,2,26,11,42.3,3.06,1.3,0.08,0.18,20.3,1,0,0,1.7,1.7,0.07,0.3,0.3
Omar Alderete,PAR,DF,Getafe,La Liga,27,1996,33,1,38,10,26.3,1.15,0.3,0.03,0.1,21.9,7,0,0,1.7,1.7,0.04,-0.7,-0.7
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26,1998,5,0,5,1,20,1,0.2,0,0,13.7,0,0,0,0.9,0.9,0.18,-0.9,-0.9
Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,26,1998,12.1,0,15,4,26.7,1.24,0.33,0,0,19.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7
Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,25,1998,26.3,3,45,8,17.8,1.71,0.3,0.07,0.38,23.6,3,0,0,1.9,1.9,0.04,1.1,1.1
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25,1999,15.2,5,46,19,41.3,3.02,1.25,0.11,0.26,17.3,0,0,0,4.6,4.6,0.1,0.4,0.4
Mohamed Ali Cho,FRA,"FW,MF",Nice,Ligue 1,20,2004,18,3,36,15,41.7,2,0.83,0.08,0.2,17.7,0,0,0,4,4,0.11,-1,-1
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23,2001,0.8,0,1,0,0,1.27,0,0,,32.2,0,0,0,0,0,0.01,0,0
Alisson,BRA,GK,Liverpool,Premier League,31,1992,27.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jim Allevinah,GAB,FW,Angers,Ligue 1,29,1995,19.4,1,35,10,28.6,1.8,0.51,0.03,0.1,14.5,0,0,0,4.2,4.2,0.12,-3.2,-3.2
Dele Alli,ENG,MF,Como,Serie A,28,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Thiago Almada,ARG,"MF,FW",Lyon,Ligue 1,23,2001,10.6,1,23,5,21.7,2.18,0.47,0.04,0.2,20.5,1,0,0,2,2,0.09,-1,-1
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,La Liga,24,2000,22,0,18,5,27.8,0.82,0.23,0,0,24.1,2,0,0,1.2,1.2,0.07,-1.2,-1.2
Iker Almena,ESP,"FW,DF",Girona,La Liga,20,2004,0.5,0,1,0,0,1.87,0,0,,24.7,0,0,0,0,0,0.03,0,0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30,1994,1.7,0,6,2,33.3,3.44,1.15,0,0,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25,1999,12.4,1,26,9,34.6,2.1,0.73,0.04,0.11,17.4,0,0,0,2.1,2.1,0.08,-1.1,-1.1
Marcos Alonso,ESP,DF,Celta Vigo,La Liga,33,1990,29.4,3,31,10,32.3,1.05,0.34,0,0,20.3,7,3,3,4,1.6,0.05,-1,-1.6
Giorgio Altare,ITA,DF,Venezia,Serie A,25,1998,8.4,0,3,1,33.3,0.36,0.12,0,0,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23,2001,18.1,0,7,2,28.6,0.39,0.11,0,0,24.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3
