player,nation,position,squad,competition,age,born,90s,passes_attempted,liveball_passes,deadball_passes,fk_passes,throughball_passes,switches,crosses,throwins,cornerkicks,inswingingcorners,outswingingcorners,straightcorners,totalpasscomp,passes_offside,passes_blocked
Aaron Cresswell,ENG,DF,West Ham,Premier League,34,1989,9.2,610,511,98,33,1,5,36,52,13,11,2,0,504,1,10
Charlie Cresswell,ENG,DF,Toulouse,Ligue 1,21,2002,28.8,1551,1466,81,33,0,8,4,12,0,0,0,0,1287,4,7
Bryan Cristante,ITA,MF,Roma,Serie A,29,1995,22.7,1296,1263,27,26,5,9,15,1,0,0,0,0,1067,6,19
Domen Črnigoj,SVN,MF,Venezia,Serie A,28,1995,1.5,49,48,0,0,0,0,2,0,0,0,0,0,25,1,3
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,32,1992,16.6,673,507,165,21,0,2,11,144,0,0,0,0,525,1,11
Juan Cruz,ESP,"FW,MF",Leganés,La Liga,24,2000,25.1,716,616,93,16,9,2,92,59,17,10,4,0,488,7,27
Juan Cuadrado,COL,"DF,MF",Atalanta,Serie A,36,1988,9.2,601,512,88,8,2,10,56,60,20,5,15,0,476,1,11
Pau Cubarsí,ESP,DF,Barcelona,La Liga,17,2007,29.1,2604,2516,84,67,4,7,2,7,0,0,0,0,2434,4,6
Cucho,COL,FW,Betis,La Liga,25,1999,12.7,310,281,28,0,1,5,12,1,0,0,0,0,223,1,10
Marc Cucurella,ESP,DF,Chelsea,Premier League,26,1998,33.2,1916,1634,275,28,2,1,31,245,2,0,0,0,1680,7,23
Jorge Cuenca,ESP,DF,Fulham,Premier League,24,1999,3.9,173,160,13,4,0,0,1,2,0,0,0,0,145,0,0
Matheus Cunha,BRA,"MF,FW",Wolves,Premier League,25,1999,28.9,1133,938,185,52,14,15,142,32,73,40,23,3,811,10,34
Patrick Cutrone,ITA,FW,Como,Serie A,26,1998,22.7,478,423,51,0,0,2,30,2,0,0,0,0,336,4,19
Tomáš Čvančara,CZE,FW,Gladbach,Bundesliga,23,2000,9.2,239,229,9,1,0,1,15,6,0,0,0,0,171,1,8
Wylan Cyprien,FRA,MF,Parma,Serie A,29,1995,0.3,21,20,0,0,1,0,0,0,0,0,0,0,14,1,1
Danilo D'Ambrosio,ITA,DF,Monza,Serie A,35,1988,12.2,652,552,96,37,1,2,9,34,0,0,0,0,566,4,4
Lucas Da Cunha,FRA,MF,Como,Serie A,23,2001,29,1702,1552,147,81,3,12,102,6,60,11,29,0,1439,3,30
Samuel Dahl,SWE,"DF,MF",Roma,Serie A,24,2000,0.5,28,27,1,0,0,0,1,1,0,0,0,0,24,0,0
Finn Dahmen,GER,GK,Augsburg,Bundesliga,26,1998,19,761,555,204,59,0,1,0,0,0,0,0,0,528,2,0
Thomas Dähne,GER,GK,Holstein Kiel,Bundesliga,30,1994,9,395,286,109,18,0,0,0,0,0,0,0,0,304,0,0
Mahmoud Dahoud,GER,MF,Eint Frankfurt,Bundesliga,28,1996,4,225,218,6,5,2,1,4,0,1,0,1,0,191,1,6
Patson Daka,ZAM,"FW,MF",Leicester City,Premier League,25,1998,8.2,147,138,9,0,2,0,3,6,0,0,0,0,106,0,11
Ameen Al-Dakhil,BEL,DF,Stuttgart,Bundesliga,22,2002,4.8,339,321,16,6,0,2,0,0,0,0,0,0,311,2,1
Thijs Dallinga,NED,FW,Bologna,Serie A,23,2000,12.8,293,278,15,0,0,1,3,0,0,0,0,0,210,0,13
Diogo Dalot,POR,DF,Manchester Utd,Premier League,25,1999,31.3,1673,1426,242,13,4,8,66,229,0,0,0,0,1347,5,36
Mikkel Damsgaard,DEN,"MF,FW",Brentford,Premier League,24,2000,32.3,1529,1368,153,33,27,5,144,9,60,53,0,0,1107,8,36
Maat Daniel Caprini,ITA,FW,Fiorentina,Serie A,18,2006,0.1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Flavius Daniliuc,AUT,DF,Hellas Verona,Serie A,23,2001,11.2,449,394,55,8,1,0,6,47,0,0,0,0,375,0,7
Danilo,BRA,"MF,FW",Nott'ham Forest,Premier League,23,2001,3.1,121,119,1,0,0,0,3,0,1,1,0,0,94,1,5
Danilo,BRA,DF,Juventus,Serie A,33,1991,6.5,573,530,42,11,0,5,3,29,0,0,0,0,519,1,3
Arnaut Danjuma,NED,FW,Villarreal,La Liga,27,1997,2.2,30,28,2,0,0,1,0,0,0,0,0,0,23,0,1
Arnaut Danjuma,NED,"FW,MF",Girona,La Liga,27,1997,14.8,438,391,44,2,1,2,76,6,30,21,6,0,318,3,23
Jayden Danns,ENG,MF,Liverpool,Premier League,18,2006,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Kévin Danois,FRA,MF,Auxerre,Ligue 1,20,2004,16.2,718,703,15,8,3,11,14,7,0,0,0,0,585,0,14
Kevin Danso,AUT,DF,Tottenham,Premier League,25,1998,9.4,555,534,21,17,0,2,1,0,0,0,0,0,480,0,8
Kevin Danso,AUT,DF,Lens,Ligue 1,25,1998,12,770,732,35,17,1,1,0,2,0,0,0,0,659,3,6
Dante,BRA,DF,Nice,Ligue 1,40,1983,21.8,1432,1336,93,63,5,8,2,4,0,0,0,0,1267,3,11
Pape Daouda Diongue,SEN,"MF,FW",Strasbourg,Ligue 1,,,0.9,57,56,1,1,0,0,1,0,0,0,0,0,47,0,2
Mohamed Daramy,DEN,FW,Reims,Ligue 1,22,2002,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Bence Dárdai,HUN,MF,Wolfsburg,Bundesliga,18,2006,14.5,445,426,18,10,1,1,10,3,1,1,0,0,357,1,13
Sergi Darder,ESP,"MF,FW",Mallorca,La Liga,30,1993,30.5,1302,1093,201,70,8,23,163,16,71,27,36,3,981,8,25
Matteo Darmian,ITA,DF,Inter,Serie A,34,1989,19.8,1007,876,129,10,3,2,32,119,0,0,0,0,844,2,23
Lukas Daschner,GER,"MF,FW",Bochum,Bundesliga,25,1998,4.6,144,126,18,7,3,0,19,1,7,4,3,0,93,0,1
Juan David Cabal,COL,DF,Juventus,Serie A,23,2001,5.1,350,319,30,4,1,3,7,26,0,0,0,0,307,1,7
Jonathan David,CAN,FW,Lille,Ligue 1,24,2000,28.4,686,646,38,1,4,3,4,2,0,0,0,0,563,2,24
Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,23,2000,17.3,1272,1143,127,21,6,1,22,106,0,0,0,0,1141,2,20
Ben Davies,WAL,DF,Tottenham,Premier League,31,1993,14.8,1020,922,95,26,1,5,4,5,0,0,0,0,893,3,8
Keinan Davis,ENG,FW,Udinese,Serie A,26,1998,11.8,275,255,19,1,0,2,3,0,0,0,0,0,208,1,1
Leif Davis,ENG,DF,Ipswich Town,Premier League,24,2000,30.5,1284,970,307,61,3,5,161,166,80,56,13,0,919,7,23
Zuriko Davitashvili,GEO,"FW,MF",Saint-Étienne,Ligue 1,23,2001,30.9,938,799,134,40,6,1,85,16,68,13,34,0,737,5,22
Paweł Dawidowicz,POL,"DF,MF",Hellas Verona,Serie A,29,1995,20.5,797,726,70,35,1,5,1,35,0,0,0,0,653,1,7
Craig Dawson,ENG,DF,Wolves,Premier League,34,1990,10.8,559,528,30,20,1,11,0,0,0,0,0,0,484,1,0
Kevin De Bruyne,BEL,"MF,FW",Manchester City,Premier League,33,1991,18.9,1196,1031,160,32,15,10,145,18,94,33,20,2,908,5,28
Bobby De Cordova-Reid,JAM,FW,Leicester City,Premier League,31,1993,8.3,206,198,8,1,0,0,15,6,0,0,0,0,145,0,15
Charles De Ketelaere,BEL,"MF,FW",Atalanta,Serie A,23,2001,23,995,932,56,11,14,5,56,26,2,1,0,0,754,7,26
Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,30,1994,23.4,1773,1650,111,79,27,14,59,18,12,2,7,0,1449,12,28
Théo De Percin,MTQ,GK,Auxerre,Ligue 1,23,2001,2,58,41,17,5,0,0,0,0,0,0,0,0,31,0,0
Mattia De Sciglio,ITA,DF,Empoli,Serie A,31,1992,8.5,299,255,44,16,0,4,7,28,0,0,0,0,233,0,7
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,36,1988,11.8,564,441,121,17,0,2,23,104,0,0,0,0,446,2,9
Thibault De Smet,BEL,DF,Reims,Ligue 1,26,1998,2.1,116,106,9,3,0,0,0,1,0,0,0,0,105,1,1
Koni De Winter,BEL,DF,Genoa,Serie A,22,2002,23.7,1289,1182,104,52,0,3,4,50,0,0,0,0,1116,3,10
Amar Dedić,BIH,DF,Marseille,Ligue 1,21,2002,3.5,224,199,25,0,1,1,5,24,1,0,0,0,189,0,6
Alessandro Deiola,ITA,MF,Cagliari,Serie A,28,1995,15.9,523,508,13,6,2,7,14,7,0,0,0,0,384,2,20
Romain Del Castillo,FRA,FW,Brest,Ligue 1,28,1996,14,688,592,92,34,3,7,103,17,39,17,19,0,480,4,27
Enrico Del Prato,ITA,DF,Parma,Serie A,24,1999,32.7,1534,1319,212,50,0,3,16,150,0,0,0,0,1288,3,15
Thomas Delaine,FRA,DF,Strasbourg,Ligue 1,32,1992,0.1,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0
Liam Delap,ENG,FW,Ipswich Town,Premier League,21,2003,28.8,357,350,5,0,8,1,5,2,0,0,0,0,219,2,16
Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,Serie A,23,2001,10.5,359,354,4,4,0,0,7,0,0,0,0,0,315,1,7
Andy Delort,ALG,FW,Montpellier,Ligue 1,32,1991,6.7,110,104,5,0,0,0,11,1,0,0,0,0,54,1,7
Olivier Deman,BEL,DF,Werder Bremen,Bundesliga,24,2000,0.7,58,45,13,0,0,0,6,10,3,3,0,0,38,0,2
Ali Dembélé,FRA,DF,Torino,Serie A,20,2004,4.3,168,137,31,4,0,0,7,27,0,0,0,0,127,0,4
Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,27,1997,19.2,1068,986,74,9,13,10,80,3,48,14,16,0,844,8,36
Ermedin Demirović,BIH,FW,Stuttgart,Bundesliga,26,1998,20.6,367,349,15,0,3,0,3,0,0,0,0,0,258,3,11
Sepp van den Berg,NED,DF,Brentford,Premier League,22,2001,28.7,1278,1177,100,18,0,2,7,61,0,0,0,0,1092,1,7
Rémy Descamps,FRA,GK,Lyon,Ligue 1,28,1996,1,30,27,3,1,0,0,0,0,0,0,0,0,27,0,0
Arthur Desmas,FRA,GK,Le Havre,Ligue 1,30,1994,18,522,365,156,39,0,1,0,0,0,0,0,0,411,1,0
Justin Devenny,NIR,MF,Crystal Palace,Premier League,20,2003,5.6,205,184,19,7,1,1,17,0,9,4,4,0,148,2,2
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,Premier League,25,1998,2.9,152,147,4,1,0,1,2,0,2,0,0,1,127,1,2
Michele Di Gregorio,ITA,GK,Juventus,Serie A,27,1997,33,994,799,195,49,0,0,0,0,0,0,0,0,761,0,0
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,30,1993,37,2236,1865,357,56,2,7,63,299,0,0,0,0,1870,14,48
Boulaye Dia,SEN,"MF,FW",Lazio,Serie A,27,1996,24.2,591,578,11,1,7,5,2,0,0,0,0,0,494,2,13
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,27,1996,7.3,336,320,14,9,0,3,1,2,0,0,0,0,282,2,4
Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,18,2005,9.5,257,247,9,2,1,3,33,5,1,0,0,0,198,1,10
Bafodé Diakité,FRA,DF,Lille,Ligue 1,23,2001,30.7,2239,2155,82,63,2,5,4,6,0,0,0,0,2086,2,19
Oumar Diakité,CIV,FW,Reims,Ligue 1,20,2003,18.1,354,317,34,1,1,2,7,1,0,0,0,0,291,3,10
Amad Diallo,CIV,"MF,FW",Manchester Utd,Premier League,22,2002,21.1,949,859,86,5,3,1,42,49,32,23,1,1,795,4,20
Assane Diao,SEN,"FW,MF",Como,Serie A,18,2005,13.9,304,295,7,3,0,0,12,3,1,0,0,0,241,2,22
Assane Diao,SEN,FW,Betis,La Liga,18,2005,3.1,66,61,5,0,0,0,4,2,0,0,0,0,49,0,4
Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,20,2004,26.1,978,936,40,11,6,5,54,10,0,0,0,0,812,2,25
Moussa Diarra,MLI,DF,Alavés,La Liga,23,2000,20.7,835,711,120,29,0,6,23,90,0,0,0,0,670,4,14
Rúben Dias,POR,DF,Manchester City,Premier League,27,1997,25.2,2317,2234,80,43,0,10,3,2,0,0,0,0,2167,3,14
Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,25,1999,5.6,314,278,35,2,1,3,15,33,0,0,0,0,240,1,5
Kandet Diawara,GUI,FW,Le Havre,Ligue 1,24,2000,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Mahamadou Diawara,FRA,MF,Le Havre,Ligue 1,19,2005,6.5,233,225,6,2,0,2,5,1,1,1,0,0,193,2,11
Mahamadou Diawara,FRA,MF,Lyon,Ligue 1,19,2005,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,24,1999,15.4,660,635,19,10,8,1,8,8,0,0,0,0,573,6,13
Daniel Díaz,ESP,MF,Real Sociedad,La Liga,18,2006,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Luis Díaz,COL,FW,Liverpool,Premier League,27,1997,26.7,874,855,17,2,2,9,32,14,1,0,0,0,736,2,24
Pedro Díaz,ESP,MF,Rayo Vallecano,La Liga,26,1998,13.5,566,523,37,14,2,8,42,0,23,11,10,0,446,6,10
Tyler Dibling,ENG,"FW,MF",Southampton,Premier League,18,2006,20.8,620,585,32,4,8,3,28,3,11,8,0,0,504,3,17
Diego,ESP,FW,Leganés,La Liga,24,2000,13.3,192,176,13,0,0,1,5,1,0,0,0,0,121,3,6
Justin Diehl,GER,"FW,DF",Stuttgart,Bundesliga,19,2004,1.2,59,55,4,0,0,0,10,0,3,2,0,0,42,0,0
Bamba Dieng,SEN,FW,Angers,Ligue 1,24,2000,5.9,103,99,4,0,2,0,5,0,1,0,1,0,80,0,2
Eric Dier,ENG,DF,Bayern Munich,Bundesliga,30,1994,16.3,1412,1360,50,25,2,7,2,5,0,0,0,0,1324,2,6
Lucas Digne,FRA,DF,Aston Villa,Premier League,31,1993,26.1,1277,1017,258,44,2,4,140,155,57,37,10,0,956,2,41
Kembo Diliwidi,FRA,DF,Lens,Ligue 1,18,2006,0,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
Federico Dimarco,ITA,"DF,FW",Inter,Serie A,26,1997,23.8,1275,1090,178,24,3,13,188,81,73,12,46,0,973,7,29
Stole Dimitrievski,MKD,GK,Valencia,La Liga,30,1993,4,133,88,45,25,0,0,0,0,0,0,0,0,68,0,0
Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,Bundesliga,23,2000,3.3,112,104,8,0,0,1,8,8,0,0,0,0,71,0,1
Eren Dinkçi,GER,"MF,FW",Freiburg,Bundesliga,22,2001,13.3,394,388,4,0,1,1,15,0,1,0,0,0,297,2,17
Sinaly Diomande,CIV,DF,Auxerre,Ligue 1,23,2001,21.6,961,909,47,42,0,14,1,5,0,0,0,0,813,5,10
Yan Diomandé,CIV,"MF,FW",Leganés,La Liga,17,2006,6.1,200,189,11,1,1,0,12,10,0,0,0,0,166,0,5
Lois Diony,FRA,FW,Angers,Ligue 1,31,1992,0.2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Issa Diop,FRA,DF,Fulham,Premier League,27,1997,14.9,758,733,25,21,0,1,1,2,0,0,0,0,663,0,2
Sérigné Diop,SEN,FW,Brest,Ligue 1,19,2005,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,24,2000,11.8,565,523,40,14,16,7,33,3,22,7,8,0,436,2,12
Andy Diouf,FRA,MF,Lens,Ligue 1,21,2003,24.7,1068,1030,27,15,13,2,30,0,11,8,3,0,849,11,30
Yehvann Diouf,SEN,GK,Reims,Ligue 1,24,1999,34,1219,874,339,119,0,2,0,0,0,0,0,0,848,6,1
Assane Dioussé,SEN,MF,Auxerre,Ligue 1,26,1997,7.4,357,355,2,2,0,7,1,0,0,0,0,0,320,0,4
Axel Disasi,FRA,DF,Aston Villa,Premier League,26,1998,5.4,280,258,20,9,1,0,1,11,0,0,0,0,243,2,5
Axel Disasi,FRA,DF,Chelsea,Premier League,26,1998,4,293,266,27,10,0,1,0,17,0,0,0,0,266,0,2
Roman Dixon,ENG,DF,Everton,Premier League,19,2004,1,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
Álvaro djaló,ESP,FW,Athletic Club,La Liga,24,1999,7.3,128,123,4,0,0,4,14,1,0,0,0,0,85,1,3
Djené,TOG,"DF,MF",Getafe,La Liga,32,1991,28.3,918,809,105,17,0,4,32,88,0,0,0,0,694,4,8
Nasser Djiga,BFA,DF,Wolves,Premier League,21,2002,0.7,48,45,3,1,0,0,0,2,0,0,0,0,40,0,2
Berat Djimsiti,ALB,DF,Atalanta,Serie A,31,1993,29.3,1691,1614,75,60,1,6,11,15,0,0,0,0,1483,2,15
Marko Dmitrović,SRB,GK,Leganés,La Liga,32,1992,32,1052,620,426,122,0,1,0,1,0,0,0,0,470,6,0
Ritsu Doan,JPN,"FW,MF",Freiburg,Bundesliga,26,1998,31.8,1090,1064,23,4,12,5,80,10,9,8,1,0,783,3,42
Dodô,BRA,DF,Fiorentina,Serie A,25,1998,33.6,1728,1456,269,31,2,10,142,237,1,0,1,0,1341,3,45
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,26,1998,34,1270,1240,25,19,1,1,10,6,0,0,0,0,995,5,20
Matt Doherty,IRL,DF,Wolves,Premier League,32,1992,23.4,1302,1177,121,55,2,22,22,66,0,0,0,0,1078,4,14
Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,22,2002,16.8,762,757,3,0,8,0,59,1,2,0,0,0,603,2,30
Marc Domenech,ESP,"FW,MF",Mallorca,La Liga,18,2006,3.4,49,49,0,0,0,0,4,0,0,0,0,0,34,0,1
Álex Domínguez,ESP,GK,Toulouse,Ligue 1,26,1998,0.2,11,7,4,1,0,0,0,0,0,0,0,0,8,0,0
Benjamín Domínguez,ARG,FW,Bologna,Serie A,20,2003,14.2,348,340,5,0,2,0,11,5,0,0,0,0,272,3,17
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,23,2001,13.1,967,936,28,26,0,6,0,2,0,0,0,0,856,3,5
Israel Domínguez,ESP,FW,Sevilla,La Liga,21,2003,0.2,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,26,1998,21.8,947,890,50,22,7,0,7,6,0,0,0,0,821,7,11
Sergi Dominguez,ESP,DF,Barcelona,La Liga,19,2005,1.9,180,173,7,4,0,0,0,1,0,0,0,0,171,0,0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,25,1999,23.2,632,508,124,35,0,0,0,0,0,0,0,0,552,0,0
Patrick Dorgu,DEN,DF,Manchester Utd,Premier League,19,2004,9.4,494,419,74,8,0,1,39,65,1,0,0,0,400,1,8
Patrick Dorgu,DEN,"DF,FW",Lecce,Serie A,19,2004,20.4,748,643,104,13,3,7,40,90,1,0,0,0,580,1,24
Alfie Dorrington,ENG,DF,Tottenham,Premier League,19,2005,0.2,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,26,1998,0.4,26,24,2,2,1,0,1,0,0,0,0,0,22,0,1
Niklas Dorsch,GER,MF,Heidenheim,Bundesliga,26,1998,14.8,687,597,88,53,0,18,37,3,28,12,8,0,573,2,3
Alberto Dossena,ITA,DF,Como,Serie A,25,1998,20.3,1020,952,65,43,0,3,1,4,0,0,0,0,894,3,8
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,31,1993,28.5,903,884,14,5,0,2,23,0,0,0,0,0,725,5,27
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,24,2000,5,204,201,3,3,0,0,1,0,0,0,0,0,174,0,4
Sékou Doucoure,FRA,DF,Nantes,Ligue 1,19,2005,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Désiré Doué,FRA,"FW,MF",Paris S-G,Ligue 1,19,2005,19.2,1133,1066,66,11,8,7,78,24,23,8,5,1,933,1,21
Guela Doué,CIV,DF,Strasbourg,Ligue 1,21,2002,30.2,2023,1728,293,63,1,3,46,226,0,0,0,0,1688,2,26
Douglas,BRA,MF,Nantes,Ligue 1,27,1997,25.6,1190,1119,68,53,2,3,10,9,3,2,0,0,1029,3,17
Ismaël Doukouré,FRA,"DF,MF",Strasbourg,Ligue 1,21,2003,29.3,1685,1561,117,46,2,2,1,15,0,0,0,0,1494,7,13
Issa Doumbia,ITA,MF,Venezia,Serie A,20,2003,10.4,271,264,4,3,0,0,10,1,0,0,0,0,203,3,7
Kamory Doumbia,MLI,"MF,FW",Brest,Ligue 1,21,2003,14.7,697,631,60,20,7,2,48,3,27,12,15,0,561,6,10
Amidou Doumbouya,FRA,DF,Nice,Ligue 1,16,2007,0.5,25,24,1,0,0,0,2,1,0,0,0,0,19,0,2
Anastasios Douvikas,GRE,FW,Como,Serie A,24,1999,6.4,106,92,14,0,1,0,2,1,0,0,0,0,81,0,4
Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,24,1999,7.8,107,85,21,0,0,0,1,0,0,0,0,0,76,1,6
Artem Dovbyk,UKR,FW,Roma,Serie A,27,1997,26.9,433,394,35,0,2,0,1,1,0,0,0,0,321,4,11
Flynn Downes,ENG,MF,Southampton,Premier League,25,1999,23.9,1109,1079,29,29,7,1,4,0,0,0,0,0,1003,1,13
Tommy Doyle,ENG,MF,Wolves,Premier League,22,2001,5.4,392,353,35,19,0,6,15,3,12,6,4,0,321,4,8
Radu Drăgușin,ROU,DF,Tottenham,Premier League,22,2002,13.9,840,793,47,40,1,3,1,3,0,0,0,0,716,0,5
Patrick Drewes,GER,GK,Bochum,Bundesliga,31,1993,21,860,598,260,83,0,0,0,0,0,0,0,0,565,2,1
Tim Drexler,GER,DF,Hoffenheim,Bundesliga,19,2005,4,180,173,7,4,1,2,1,3,0,0,0,0,153,0,3
Domingos Duarte,POR,DF,Getafe,La Liga,29,1995,20.7,633,602,29,27,1,6,0,2,0,0,0,0,497,2,1
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,35,1989,10,333,246,86,27,0,1,0,0,0,0,0,0,265,1,0
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,30,1994,26.9,908,676,224,55,8,13,167,9,105,33,56,0,560,8,24
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,29,1994,26.6,1204,1045,153,64,3,15,89,8,66,26,32,0,943,6,13
Duk,CPV,"MF,FW",Leganés,La Liga,24,2000,2,53,49,4,0,0,0,8,4,0,0,0,0,33,0,5
Denzel Dumfries,NED,"DF,FW",Inter,Serie A,28,1996,20.7,831,678,150,5,2,3,54,145,0,0,0,0,603,3,27
Alfred Duncan,GHA,MF,Venezia,Serie A,31,1993,10.6,498,463,32,16,4,6,17,2,11,1,7,0,404,3,7
Lewis Dunk,ENG,DF,Brighton,Premier League,32,1991,23.1,1953,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7
Jáder Durán,COL,FW,Aston Villa,Premier League,20,2003,7.1,163,155,7,0,2,0,3,0,0,0,0,0,115,1,4
Pablo Durán,ESP,"FW,MF",Celta Vigo,La Liga,23,2001,15.5,400,375,23,0,1,3,18,7,1,0,1,0,284,2,19
Julien Duranville,BEL,"FW,MF",Dortmund,Bundesliga,18,2006,3.1,84,83,1,0,1,1,13,1,0,0,0,0,59,0,2
Hugo Duro,ESP,FW,Valencia,La Liga,24,1999,24.1,428,386,41,1,0,1,7,1,0,0,0,0,296,1,15
Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,27,1997,6,304,250,53,6,0,0,9,47,0,0,0,0,238,1,5
Paulo Dybala,ARG,"FW,MF",Roma,Serie A,30,1993,15.7,729,645,81,26,2,16,62,5,36,11,14,2,596,3,16
Stefan Džodić,SRB,"DF,MF",Montpellier,Ligue 1,19,2005,2.7,176,171,5,3,0,1,0,0,0,0,0,0,158,0,0
Adam Dźwigała,POL,"DF,MF",St. Pauli,Bundesliga,28,1995,4.1,212,185,26,8,1,0,3,16,0,0,0,0,173,1,5
Aron Dønnum,NOR,"DF,MF",Toulouse,Ligue 1,26,1998,29.9,1213,1013,190,31,7,26,117,127,32,23,5,0,880,10,42
Enzo Ebosse,CMR,DF,Udinese,Serie A,25,1999,1,55,49,6,3,0,1,0,2,0,0,0,0,48,0,0
Tyronne Ebuehi,NGA,"DF,MF",Empoli,Serie A,28,1995,0.8,46,29,17,1,0,0,2,16,0,0,0,0,33,0,0
Claudio Echeverri,ARG,FW,Manchester City,Premier League,18,2006,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Ederson,BRA,GK,Manchester City,Premier League,30,1993,25.8,923,817,106,29,1,2,0,0,0,0,0,0,811,0,1
Éderson,BRA,MF,Atalanta,Serie A,25,1999,32,1966,1902,58,51,6,30,23,5,2,0,1,0,1700,6,28
Noah Edjouma,FRA,"MF,FW",Toulouse,Ligue 1,18,2005,1.9,52,50,2,0,0,1,6,1,1,1,0,0,36,0,3
George Edmundson,ENG,DF,Ipswich Town,Premier League,26,1997,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Odsonne Édouard,FRA,"MF,FW",Crystal Palace,Premier League,26,1998,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
Odsonne Édouard,FRA,FW,Leicester City,Premier League,26,1998,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1
Samuel Edozie,ENG,"DF,FW",Southampton,Premier League,21,2003,0.7,33,33,0,0,0,0,4,0,0,0,0,0,25,0,2
Ronnie Edwards,ENG,DF,Southampton,Premier League,21,2003,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Johannes Eggestein,GER,FW,St. Pauli,Bundesliga,26,1998,20.6,547,515,29,0,4,2,35,0,0,0,0,0,404,3,28
Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,27,1996,31.6,1452,1419,29,25,2,0,9,4,0,0,0,0,1213,4,32
Kingsley Ehizibue,NED,DF,Udinese,Serie A,29,1995,27.8,982,751,229,7,1,1,61,222,0,0,0,0,753,2,22
Chidera Ejuke,NGA,FW,Sevilla,La Liga,26,1998,10.7,445,409,35,0,2,8,22,12,23,11,1,0,363,1,17
Jeff Ekhator,ITA,"FW,MF",Genoa,Serie A,17,2006,8.5,165,156,7,0,3,0,10,2,1,0,0,0,110,2,6
Hugo Ekitike,FRA,FW,Eint Frankfurt,Bundesliga,22,2002,28.5,644,586,56,2,6,5,17,1,0,0,0,0,486,2,23
Jurgen Ekkelenkamp,NED,MF,Udinese,Serie A,24,2000,21,690,644,43,6,2,5,12,32,4,1,1,0,550,3,17
Jacques Ekomie,GAB,"DF,FW",Angers,Ligue 1,20,2003,7.7,260,192,66,1,0,1,23,65,0,0,0,0,183,2,14
Emmanuel Ekong,SWE,"MF,FW",Empoli,Serie A,22,2002,2.1,44,43,1,0,0,0,0,1,0,0,0,0,30,0,2
Caleb Ekuban,GHA,FW,Genoa,Serie A,30,1994,6.2,107,99,7,0,1,0,3,0,0,0,0,0,72,1,4
Pierre Ekwah Elimby,FRA,MF,Saint-Étienne,Ligue 1,22,2002,28.6,1593,1536,57,53,3,12,5,2,1,1,0,0,1405,0,16
