player,nation,position,squad,competition,age,born,90s,passes_attempted,liveball_passes,deadball_passes,fk_passes,throughball_passes,switches,crosses,throwins,cornerkicks,inswingingcorners,outswingingcorners,straightcorners,totalpasscomp,passes_offside,passes_blocked
Lorenzo Aguado,ESP,DF,Real Madrid,La Liga,21,2002,0.1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28,1996,19.6,1389,1330,53,38,0,34,2,3,0,0,0,0,1213,6,10
Ruben Aguilar,FRA,"DF,MF",Lens,Ligue 1,31,1993,12.5,843,706,132,10,2,4,47,122,0,0,0,0,677,5,29
Naouirou Ahamada,FRA,"MF,FW",Rennes,Ligue 1,22,2002,0.6,22,22,0,0,0,0,1,0,0,0,0,0,17,0,0
Honest Ahanor,ITA,"DF,MF",Genoa,Serie A,16,2008,3,76,64,12,1,0,0,4,10,1,1,0,0,51,0,3
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30,1994,21.8,764,753,9,9,2,2,2,0,0,0,0,0,644,2,9
Joseph Aidoo,GHA,DF,Valladolid,La Liga,28,1995,6.5,378,363,15,9,0,2,0,1,0,0,0,0,337,0,3
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,28,1995,0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19,2005,1.4,29,29,0,0,0,0,1,0,0,0,0,0,17,0,1
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,1352,1071,279,15,0,4,59,264,0,0,0,0,994,2,46
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23,2001,34.5,1721,1397,320,44,3,4,94,246,30,24,1,0,1449,4,42
Junior Ajayi,CIV,FW,Hellas Verona,Serie A,19,2004,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26,1998,16,644,570,73,2,0,3,14,71,0,0,0,0,504,1,18
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30,1994,27.7,671,660,8,0,2,12,7,1,0,0,0,0,462,3,16
Manuel Akanji,SUI,DF,Manchester City,Premier League,29,1995,22.4,1744,1707,36,18,4,10,11,10,0,0,0,0,1632,1,6
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,20,2003,5.6,348,317,31,8,1,3,3,20,0,0,0,0,274,0,9
Nathan Aké,NED,DF,Manchester City,Premier League,29,1995,7.5,542,514,26,13,0,0,1,7,0,0,0,0,509,2,3
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20,2004,6.5,185,177,7,2,1,2,18,2,3,2,0,0,136,1,7
Sergio Akieme,ESP,DF,Reims,Ligue 1,26,1997,28,1147,952,190,25,0,1,94,152,11,9,0,0,929,5,19
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22,2002,26.7,1216,1163,43,10,8,8,53,16,17,11,2,0,989,10,34
Paul Akouokou,CIV,MF,Lyon,Ligue 1,26,1997,0.2,15,15,0,0,0,0,0,0,0,0,0,0,10,0,1
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22,2001,27.6,1209,1105,101,56,0,40,25,40,2,1,1,0,998,3,20
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,31,1992,10.7,346,327,17,4,0,1,6,13,0,0,0,0,275,2,13
